SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,AvgRollbackRtt,RemoteUpdateTxPrepareServiceTime,RemoteContentionProbability,LocalUpdateTxPrepareResponseTime,AvgCommitAsync,LocalUpdateTxLocalServiceTime,AvgGetsPerWrTransaction,LocalUpdateTxLocalRollbackResponseTime,AvgNumSyncSentCommitMsgs,AvgCommitCommandSize,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,LocalReadOnlyTxPrepareResponseTime,AvgPutsPerWrTransaction,PercentageWriteTransactions,NumAbortedTxDueToValidation,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumWaitedRemoteGets,AvgLocalRemoteAbortLockHoldTime,AvgLocalSuccessfulLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgNumNodesRollback,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgRemoteGetsPerWrTransaction,AvgCommitRtt,NumReadsBeforeWrite,LocalUpdateTxLocalRollbackServiceTime,AvgLockHoldTime,RemoteGetServiceTime,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,GMUClusteredGetCommandResponseTime,WaitedTimeInLocalCommitQueue,RemotePutExecutionTime,AvgLocalLockHoldTime,AvgClusteredGetCommandReplySize,AvgNumNodesRemoteGet,NumOwnedRdItemsInRemotePrepare,AvgNumAsyncSentCommitMsgs,AvgGetsPerROTransaction,LocalUpdateTxTotalResponseTime,LocalUpdateTxTotalCpuTime,LocalUpdateTxLocalResponseTime,RemoteGetResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,LocalUpdateTxCommitServiceTime,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,PercentageSuccessWriteTransactions,WaitedTimeInRemoteCommitQueue,LocalUpdateTxRemoteRollbackResponseTime,LockContentionProbability,AvgRemoteLockHoldTime,ReadOnlyTxTotalResponseTime,NumAbortedXacts,RemoteUpdateTxCommitServiceTime,NumberOfRemotePuts,AvgNumPutsBySuccessfulLocalTx,AvgNumNodesCompleteNotification,AvgCompleteNotificationAsync,NumAbortedTxDueToNotLastValueAccessed,NumOwnedRdItemsInLocalPrepare,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,TerminationCost,RemotelyDeadXact,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareCommandSize,LocalUpdateTxCommitResponseTime,LocalUpdateTxRemoteRollbackServiceTime,AvgPrepareRtt,AvgNumNodesCommit,NumberOfGets,UpdateXactToPrepare,AvgRollbackCommandSize,WriteSkewProbability,LocalContentionProbability,GMUClusteredGetCommandServiceTime,AvgReadOnlyTxDuration,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,NumWaitedRemoteCommits,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180012,0,15,146,0,316,366356.1797739726,309014.37313333334,20.409668763102726,46726.29316438356,0.7740287743409406,6.307097008695652E7,1,1000,UNIFORM,0,0,311,0.0,37999,7505,27504,100,12195,0,402,423,28890.0,0,0,10.0,0.9685534591194969,7,28078,35,0,49723,40929,119,35,134,305782,7323,97.28082191780823,0,100.0,1721,32090,272,0.20275077069006403,178,93.0,0,70,46025,1371,1,2.737194688166943,34,100,363603.0,32935.0,317149,3326,0.0,350,1613,706,0.0,0.906832298136646,0,7689,0.0,31581,307101.0,316,133,1390,10.0,0,0,0,2.8698630136986303,3,0,187230,306.0,9.520547945205479,3626,0,3201,6323,7967,1648,34162,35,16100,462.0,70,0.0,2.1645021645021645E-4,84.0,307090,0.4794520547945205,1,98,15659,0,97.06666666666666,0,0,19793
1,180191,0,16,135,0,354,355229.7850740741,392110.171125,16.554801980198018,45869.49286666667,0.6603896201378983,7.21785392E7,1,1000,UNIFORM,0,0,300,0.0,36840,8021,26656,100,5642,0,402,423,40789.0,0,0,10.0,0.9683168316831683,10,39951,35,0,41116,41983,99,35,126,389139,6014,97.03703703703704,0,100.0,1075,31219,248,0.23381189569293875,144,92.0,0,80,40456,1297,1,2.963255977496484,34,100,352705.0,32056.0,307064,3179,0.0,388,1495,650,0.0,0.8940397350993378,3552,6501,0.0,30866,390600.0,354,120,1310,10.0,0,0,0,3.051851851851852,5,0,124481,338.0,9.703703703703704,3721,0,3072,6323,8401,1440,32487,35,15100,489.0,70,0.0,8.179959100204499E-4,77.0,390586,0.2962962962962963,1,86,14665,1,97.8125,0,0,7730
2,180259,0,14,117,0,356,356307.5820854701,309840.371,28.212860369609857,43827.46646153846,0.7889254646746275,6.553273024E7,1,1000,UNIFORM,0,0,309,0.0,34828,7823,27956,100,5886,0,402,423,25929.0,0,0,10.0,0.971252566735113,8,25161,35,0,47556,36186,117,35,159,306675,6660,97.75213675213675,0,100.0,1065,35147,271,0.19714234038705009,173,111.0,0,66,43378,1356,1,2.547054922529692,34,100,354106.0,33335.0,310547,3259,0.0,313,1468,699,0.0,0.8931297709923665,39663,7128,0.0,34853,307649.0,356,127,1140,10.0,0,0,0,2.4188034188034186,4,0,125682,344.0,9.743589743589743,3724,0,3130,6324,8475,1499,31299,35,13100,473.0,70,0.0,0.0,88.0,307634,0.2564102564102564,1,92,12797,2,97.14285714285714,0,0,8508
3,180216,0,25,127,0,306,402934.07268503937,396842.68308,75.79881659388647,52549.474267716534,0.7826536977501707,9.133435488E7,1,1000,UNIFORM,0,0,307,0.0,41647,9296,31755,100,5382,0,402,423,35961.0,0,0,10.0,0.9454148471615721,6,35113,35,0,50283,44886,109,34,159,389948,8040,96.4015748031496,0,100.0,814,36116,283,0.2603272685661975,171,101.0,0,72,47736,1291,1,3.482148987298318,34,100,399636.0,37609.0,347400,3488,0.0,412,1640,851,0.0,0.8355263157894737,4143,8778,0.0,35710,392117.0,306,131,1210,10.0,0,0,0,3.952755905511811,11,0,197901,289.0,9.527559055118111,4010,0,3330,6325,10041,1498,36926,35,15200,433.0,70,0.0,0.0013856812933025404,80.0,392006,0.47244094488188976,1,92,14674,1,97.24,0,0,8228
4,180257,0,10,119,0,343,372397.18370588234,372902.1897,46.973480932203394,47954.12379831933,0.7262868647544929,7.735981504E7,1,1000,UNIFORM,0,0,305,0.0,37967,8798,28958,100,4803,0,402,423,35699.0,0,0,10.0,0.9788135593220338,13,34946,35,0,47749,44756,113,34,137,369168,7174,96.57142857142857,0,100.0,1019,29935,269,0.2511600928074246,159,101.0,0,80,45164,1322,1,3.1412412993039442,34,100,369548.0,34781.0,321911,3390,0.0,496,1741,750,0.0,0.9224806201550387,26013,7864,0.0,29399,370036.0,343,133,1150,10.0,0,0,0,3.3949579831932772,11,0,301216,319.0,9.663865546218487,3887,0,3264,6325,9307,1662,34320,35,12900,462.0,70,0.0,6.493506493506494E-4,81.0,369976,0.33613445378151263,1,96,12468,5,97.6,0,0,7788
5,180075,0,11,93,0,342,397658.48007526883,411415.64090909093,18.16760313901345,52361.34858064516,0.7481260061506642,8.4356974E7,1,1000,UNIFORM,0,0,316,0.0,41961,8747,28956,100,9626,0,402,423,37592.0,0,0,10.0,0.9753363228699552,21,36757,35,0,53262,47194,119,34,147,406609,8243,96.10752688172043,0,100.0,1551,30358,274,0.32063329346773733,175,101.0,0,75,49457,1349,1,4.108686983765309,34,100,394694.0,34693.0,342746,3608,0.0,628,1589,886,0.0,0.8942307692307693,7190,8655,0.0,29711,408891.0,342,135,910,10.0,0,0,0,4.064516129032258,10,0,253524,311.0,9.78494623655914,3954,0,3466,6325,9432,1527,36851,35,10400,435.0,70,0.0,0.001379310344827586,77.0,408876,0.21505376344086022,1,95,10003,3,96.81818181818181,0,0,15014
6,179996,0,14,127,0,334,374687.358023622,298055.599,51.510545263157894,49399.82050393701,0.7602081116479554,6.602276660869565E7,1,1000,UNIFORM,0,0,304,0.0,39389,8176,27228,100,6002,0,402,423,23874.0,0,0,10.0,0.9705263157894737,13,23089,35,0,50557,44461,104,34,156,293157,7664,96.64566929133858,0,100.0,1274,33664,255,0.29229252450269677,156,90.0,0,77,47251,1372,1,3.4157772621809745,34,100,372356.0,32819.0,323244,3343,0.0,525,1590,756,0.0,0.900709219858156,8894,8323,0.0,33173,294317.0,334,124,1260,10.0,0,0,0,3.559055118110236,7,0,207826,314.0,9.921259842519685,3812,0,3224,6324,8971,1549,35293,35,14100,461.0,70,0.0,6.507592190889371E-4,74.0,294255,0.07874015748031496,1,87,13623,3,96.35714285714286,0,0,8203
7,180072,0,15,142,0,366,349530.23226056335,283646.94786666665,30.685585086042064,43892.10262676056,0.6302424208115741,6.0357253E7,1,1000,UNIFORM,0,0,294,0.0,35305,7250,25416,100,4142,0,402,423,22552.0,0,0,10.0,0.97131931166348,9,21817,35,0,41885,40469,92,34,134,281414,5958,97.17605633802818,0,100.0,966,35207,232,0.2415773580436971,161,84.0,0,68,40603,1383,1,2.89111255847001,34,100,347485.0,30894.0,303866,3045,0.0,414,1557,596,0.0,0.9044585987261147,0,6462,0.0,34991,282422.0,366,123,1390,10.0,0,0,0,2.936619718309859,8,0,122061,349.0,9.788732394366198,3737,0,2956,6324,7840,1432,31188,35,15700,508.0,70,0.0,3.937007874015748E-4,74.0,282409,0.2112676056338028,1,85,15261,0,97.46666666666667,0,0,7125
8,180065,0,11,147,0,365,342141.4697755102,284821.2882727272,24.700309751434034,45070.64914285714,0.6480678708843197,6.57436976E7,1,1000,UNIFORM,0,0,274,0.0,37939,6043,25567,100,3866,0,402,423,26294.0,0,0,10.0,0.9789674952198852,10,25452,35,0,44258,38743,95,35,143,281626,5265,97.65986394557824,0,100.0,1022,36555,237,0.19469026548672566,133,98.0,0,63,41667,1326,1,2.4881293866341165,34,100,340160.0,30740.0,295384,3023,0.0,321,1348,526,0.0,0.930379746835443,8251,5702,0.0,36355,282774.0,365,117,1430,10.0,0,0,0,2.401360544217687,2,0,124628,353.0,9.727891156462585,3653,0,2934,6324,6509,1308,34157,35,15800,512.0,70,0.0,1.953125E-4,75.0,282758,0.272108843537415,1,85,15427,2,97.36363636363636,0,0,4632
9,180227,0,12,153,0,391,333539.95435294113,271997.89675,16.98636690647482,41984.317084967326,0.5561215611069468,5.068277792E7,1,1000,UNIFORM,0,0,301,0.0,35771,5248,27007,100,3607,0,402,423,25626.0,0,0,10.0,0.9784172661870504,5,24862,35,0,39254,35395,97,35,120,269421,4637,98.68627450980392,0,100.0,968,35701,234,0.139673332315677,147,94.0,0,59,37391,1374,1,1.6918027782018012,34,100,331709.0,32211.0,289975,2835,0.0,188,1319,501,0.0,0.9272727272727272,28945,4974,0.0,35627,270360.0,391,125,1490,10.0,0,0,0,1.4379084967320261,5,0,119919,381.0,9.738562091503267,3711,0,2754,6324,5604,1210,32233,35,16500,544.0,70,0.0,7.352941176470588E-4,92.0,270344,0.26143790849673204,1,93,16271,1,97.66666666666667,0,0,4687
