SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,AvgRollbackRtt,RemoteUpdateTxPrepareServiceTime,RemoteContentionProbability,LocalUpdateTxPrepareResponseTime,AvgCommitAsync,LocalUpdateTxLocalServiceTime,AvgGetsPerWrTransaction,LocalUpdateTxLocalRollbackResponseTime,AvgNumSyncSentCommitMsgs,AvgCommitCommandSize,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,LocalReadOnlyTxPrepareResponseTime,AvgPutsPerWrTransaction,PercentageWriteTransactions,NumAbortedTxDueToValidation,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumWaitedRemoteGets,AvgLocalRemoteAbortLockHoldTime,AvgLocalSuccessfulLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgNumNodesRollback,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgRemoteGetsPerWrTransaction,AvgCommitRtt,NumReadsBeforeWrite,LocalUpdateTxLocalRollbackServiceTime,AvgLockHoldTime,RemoteGetServiceTime,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,GMUClusteredGetCommandResponseTime,WaitedTimeInLocalCommitQueue,RemotePutExecutionTime,AvgLocalLockHoldTime,AvgClusteredGetCommandReplySize,AvgNumNodesRemoteGet,NumOwnedRdItemsInRemotePrepare,AvgNumAsyncSentCommitMsgs,AvgGetsPerROTransaction,LocalUpdateTxTotalResponseTime,LocalUpdateTxTotalCpuTime,LocalUpdateTxLocalResponseTime,RemoteGetResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,LocalUpdateTxCommitServiceTime,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,PercentageSuccessWriteTransactions,WaitedTimeInRemoteCommitQueue,LocalUpdateTxRemoteRollbackResponseTime,LockContentionProbability,AvgRemoteLockHoldTime,ReadOnlyTxTotalResponseTime,NumAbortedXacts,RemoteUpdateTxCommitServiceTime,NumberOfRemotePuts,AvgNumPutsBySuccessfulLocalTx,AvgNumNodesCompleteNotification,AvgCompleteNotificationAsync,NumAbortedTxDueToNotLastValueAccessed,NumOwnedRdItemsInLocalPrepare,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,TerminationCost,RemotelyDeadXact,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareCommandSize,LocalUpdateTxCommitResponseTime,LocalUpdateTxRemoteRollbackServiceTime,AvgPrepareRtt,AvgNumNodesCommit,NumberOfGets,UpdateXactToPrepare,AvgRollbackCommandSize,WriteSkewProbability,LocalContentionProbability,GMUClusteredGetCommandServiceTime,AvgReadOnlyTxDuration,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,NumWaitedRemoteCommits,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,181562,0,96,92,1,43,1039686.5225326087,490024.8645,16.361418103448276,213716.39426086957,0.48827579977692404,5.283066528E7,1,1000,UNIFORM,0,0,2553,0.0,205708,3773,83480,10,1074,0,562,582,48190.0,0,0,10.0,0.5862068965517241,0,45749,9,0,65821,24649,2058,8,3597,483791,4529,9.858695652173912,0,10.0,1114,233017,4379,1.0580524344569289,2612,4181.0,0,25217,31707,1623,1,1.0655430711610487,9,10,1036717.0,94633.0,824180,52050,0.0,24,2800,6263,0.0,0.48936170212765956,467648,6525,0.0,256901,487621.0,44,1496,910,10.0,0,0,0,0.31521739130434784,0,0,503539,43.0,9.891304347826088,7526,0,36868,6012,5403,2472,198615,9,1880,135.0,70,0.0,0.0,2072.0,487406,0.10869565217391304,1,1125,1851,2,9.833333333333334,0,0,0
1,180392,0,88,92,0,37,1037851.329423913,466409.72245454544,15.408069124423962,262681.08518478257,0.44339486868743494,4.299502144E7,1,1000,UNIFORM,0,0,2465,0.0,250813,5320,85393,10,0,0,562,582,50164.0,0,0,10.0,0.5944700460829493,0,47698,9,0,2338911,37856,2562,9,5068,459345,4941,9.869565217391305,0,10.0,0,189418,4492,1.084070796460177,3212,4406.0,0,22326,498067,1665,1,1.0575221238938053,9,10,1034222.0,97069.0,773901,50122,0.0,26,2996,7085,0.0,0.5111111111111111,1273590,6386,0.0,170272,463661.0,37,1441,910,10.0,0,0,0,0.21739130434782608,0,0,1052284,37.0,9.891304347826088,7837,0,33900,6012,7702,2539,241371,9,1800,129.0,70,0.0,0.0,2039.0,463461,0.10869565217391304,1,1132,1780,7,9.909090909090908,0,0,0
2,181435,0,88,96,2,52,872060.2146145834,534939.3789318182,15.584626050420168,133482.88730208334,0.4870297969018324,4.145815776E7,1,1000,UNIFORM,0,0,2491,0.0,105082,4429,85411,10,2023,0,562,582,48910.0,0,0,10.0,0.6302521008403361,1,46527,9,0,160946,105351,2133,9,2945,529930,4670,9.895833333333334,0,10.0,1666,162955,4524,0.9090909090909091,2482,4112.0,1841980,21038,112659,1536,1,1.0561797752808988,9,10,868329.0,97158.0,736353,54473,0.0,12,3039,9673,0.0,0.5217391304347826,588419,6892,0.0,168622,532831.0,54,1467,940,10.0,0,0,0,0.2604166666666667,0,1,690995,51.0,9.791666666666666,7886,0,36868,6012,25778,2793,96936,9,1840,148.0,70,0.0,0.0,2006.0,532691,0.20833333333333334,1,1154,1815,4,9.829545454545455,0,0,5628
3,182096,0,131,91,1,26,1035954.5546153845,480184.17180916027,15.263465863453815,303254.79052747256,0.4946553474398181,4.562674112E7,1,1000,UNIFORM,0,0,2440,0.0,292549,4791,85125,10,11141,0,562,583,48432.0,0,0,10.0,0.4738955823293173,1,46014,9,0,27968,62661,1897,8,4252,471895,4816,9.89010989010989,0,10.0,1789,179677,4424,0.9918032786885246,2914,4750.0,0,20961,60033,1627,1,1.0549180327868852,9,10,1032118.0,96783.0,730843,50431,0.0,24,2992,7300,0.0,0.4099099099099099,764353,6837,0.0,191451,476721.0,27,1459,910,10.0,0,0,0,0.37362637362637363,1,0,875613,24.0,10.0,7829,0,35661,6012,6844,2731,283027,9,2220,117.0,70,0.0,8.496176720475786E-4,2030.0,476454,0.0,1,1112,2186,4,9.816793893129772,0,0,31404
4,181452,0,85,93,2,40,1052320.3488172044,364267.7179764706,18.88701818181818,216578.4007204301,0.488173669900603,4.757352288E7,1,1000,UNIFORM,0,0,2521,0.0,205476,5018,82538,10,6348,0,562,582,49253.0,0,0,10.0,0.6136363636363636,0,46763,9,0,607642,42267,2037,8,4735,355943,5119,9.795698924731182,0,10.0,1526,234274,4425,1.2284644194756553,3465,4325.0,0,29957,142778,1659,1,1.0816479400749064,9,10,1048091.0,94156.0,833850,48753,0.0,33,2992,7850,0.0,0.5224719101123596,620590,7465,0.0,244567,360939.0,42,1475,880,10.0,0,0,0,0.3978494623655914,1,0,778962,39.0,9.46236559139785,7812,0,36083,6012,6942,2551,195598,9,1780,133.0,70,0.0,7.473841554559044E-4,2028.0,360758,0.5376344086021505,1,1095,1743,4,9.788235294117648,0,0,0
5,180428,0,75,83,1,43,1049417.9670361446,672025.9291733333,89.7480099009901,237349.5539879518,0.5158147819192581,6.256510976E7,1,1000,UNIFORM,0,0,2407,0.0,218901,6566,81852,10,1106,0,562,582,47347.0,0,0,10.0,0.6287128712871287,0,44922,9,0,83787,56122,2358,9,7385,577998,5885,9.783132530120483,0,10.0,1140,209706,4319,1.109865470852018,3485,5804.0,496319,21107,61520,1661,1,1.0992152466367713,8,10,1045742.0,93052.0,810023,59893,0.0,31,2908,14841,0.0,0.5253164556962026,439370,8055,0.0,221127,667162.0,44,1426,810,10.0,0,0,0,0.39759036144578314,0,1,989296,43.0,9.759036144578314,7484,0,38872,6012,14638,2467,209562,9,1580,126.0,70,0.0,0.0,1989.0,666982,0.24096385542168675,1,1102,1546,8,9.786666666666667,0,0,0
6,180748,0,82,101,1,30,933352.9884752475,673081.8347317073,15.112308411214954,225532.57218811882,0.5003861232062579,4.635933952E7,1,1000,UNIFORM,0,0,2506,0.0,214296,5922,83505,10,1125,0,562,582,48537.0,0,0,10.0,0.616822429906542,0,46115,9,0,52009,84914,2427,9,3394,664693,4846,9.811881188118813,0,10.0,1158,197302,4402,1.1730629978276612,2843,4083.0,0,20060,82010,1700,1,1.0897900072411295,9,10,929728.0,95042.0,705511,59731,0.0,30,2986,7259,0.0,0.5519125683060109,546155,7340,0.0,206569,670124.0,31,1473,990,10.0,0,0,0,0.3069306930693069,0,0,802882,30.0,9.801980198019802,7719,0,39298,6012,8144,2569,204136,9,1830,131.0,70,0.0,0.0,2021.0,669506,0.19801980198019803,1,1100,1799,6,9.853658536585366,0,0,0
7,180126,0,114,99,2,28,973474.2536161615,391895.85256140353,15.844395061728395,151034.97710101012,0.4806673008589674,4.989607104E7,1,1000,UNIFORM,0,0,2544,0.0,141831,4380,84001,10,3085,0,562,582,48602.0,0,0,10.0,0.5308641975308642,0,46197,9,0,65688,54501,1985,8,4040,385801,4140,9.848484848484848,0,10.0,1525,211776,4396,1.1152416356877324,2769,4186.0,0,20104,56100,1642,1,1.0697026022304832,9,10,970040.0,95472.0,820365,53101,0.0,28,2964,7531,0.0,0.4647887323943662,592177,5716,0.0,227993,389067.0,30,1487,970,10.0,0,0,0,0.30303030303030304,1,0,544911,27.0,9.797979797979798,7668,0,36873,6012,6436,2521,133751,9,2130,127.0,70,0.0,7.836990595611285E-4,2040.0,388868,0.20202020202020202,1,1124,2100,5,9.868421052631579,0,0,0
8,181060,0,109,103,2,47,721400.398407767,399997.13593577984,18.813141762452105,101244.66238834952,0.3368559563366146,4.482884928E7,1,1000,UNIFORM,0,0,2650,0.0,93554,3607,85001,10,1243,0,562,582,48759.0,0,0,10.0,0.5823754789272031,0,46311,9,0,67941,19313,1944,8,3296,394025,3682,9.932038834951456,0,10.0,1230,142216,4441,1.0641891891891893,2250,4177.0,0,18876,21427,1426,1,1.0456081081081081,9,10,718827.0,96669.0,618769,49212,0.0,12,2965,8139,0.0,0.4858490566037736,3912493,5290,0.0,158274,397660.0,49,1496,1020,10.0,0,0,0,0.21359223300970873,0,0,629979,47.0,9.902912621359222,7834,0,33419,6012,4943,2659,86553,9,2120,150.0,70,0.0,0.0,1912.0,397434,0.0970873786407767,1,1151,2098,2,9.862385321100918,0,0,0
9,180833,0,103,95,2,31,819046.6870842106,459803.97770873783,14.346142857142857,157953.29788421054,0.45941559150132755,4.653606304E7,1,1000,UNIFORM,0,0,2420,0.0,148806,4822,83580,10,1063,0,562,582,49143.0,0,0,10.0,0.5541125541125541,0,46739,9,0,38303,209282,1720,8,5144,451649,3849,9.821052631578947,0,10.0,1091,222632,4407,1.068111455108359,2463,4293.0,0,31427,187909,1702,1,1.0588235294117647,9,10,815816.0,94952.0,659020,51666,0.0,24,2881,6268,0.0,0.4797979797979798,408089,6338,0.0,225503,457103.0,33,1427,950,10.0,0,0,0,0.29473684210526313,0,0,664835,31.0,10.0,7670,0,39233,6012,6484,2496,140861,9,1980,126.0,70,0.0,0.0,2040.0,456922,0.0,1,1096,1952,3,9.893203883495145,0,0,0
