ReplicationDegree;Numkeys;NumWrites;NumThread;NumNodes;WriteXactPercentage;NumReadsPerROXact;NumReadsPerWrXact;NumPutsPerWrXact;Warehouses;Parallelism;CPU;Memory;Throughput;WriteThroughput;ReadThroughput;EarlyAborts;LocalPrepareAborts;RemotePrepareAborts;WriteCommitProbability;TotalCommitProbability;Locality;NodesInCommit;RemoteNodesInCommit;RemoteReadsInROXact;RemoteReadsInWrXact;LockHoldTime;LocalLockHoldTime;LocalSuccessfulLockHoldTime;LocalLocalAbortLockHoldTime;LocalRemoteAbortLockHoldTime;RemoteLockHoldTime;PrepareRtt;CommitAsyncNet;RollbackAsyncNet;RemoteGetRtt;NumReadsAfterFirstWrite;PrepareMessageSize;CommitMessageSize;RollbackMessageSize;RemoteGetMessageSize;RemoteGetReplyMessageSize;LocalCommitWaitTime;NumLocalCommitsWait;RemoteCommitWaitTime;NumRemoteCommitsWait;RemoteGetWaitTime;NumRemoteGetsWait;TotalResponseTimeWrXact;TotalResponseTimeROXact;LocalResponseTimeWrXact;LocalResponseTimeROXact;LocalServiceTimeWrXact;TotalServiceTimeWrXact;LocalServiceTimeROXact;RG_WrR;RG_ROR;RG_COMMIT;BusinessLogicWrXactS;BusinessLogicROXactS;BusinessLogicWrXactR;BusinessLogicROXactR;RemoteRemoteGetServiceTime;RemoteRemoteGetResponseTime;LocalRemoteGetServiceTime;LocalRemoteGetResponseTime;CommitCommandServiceTime;CommitCommandResponseTime;PrepareCommandServiceTime;PrepareCommandResponseTime;EarlyAbortProb;PrepareLocalAbortProb;PrepareRemoteAbortProb;;;Throughput;RdThroughput;WrThroughput;RdResponseTime;WrResponseTime;WrLocalR;WrPrepareR;WrCommitR;RemoteGetR;avgR;CpuU;EarlyAbortP;LocalAbortP;RemoteAbortP;;LC_Cpu;LEA_Cpu;LLA_Cpu;LRA_Cpu;RC_Cpu;RA_Cpu;RO_Cpu;
1;100.000;10;1;10;0,10902748;100;100;10;0;10;0,60599803;188.678.508,4062029;69,36491946;7,55849923;61,80642023;-1;-1;0;1;1;0,1001305;10;9;89,9721194;90,11740462;1.894;1.894;1.894;0;0;0;8.803,4;1.395,6;0;1.410,5;100;6.108;162;0;192;211;0;0;0;0;0;0;152.343,2;141.063,1;139.518,2;139.595,1;15.871,6;18.750,1;15.658,7;154.406,10459179;142.878,18633605;13.051,25897916;1.660,08529132;1.470,09677126;2.287,41624368;2.585,55658383;73,2;76,6;157,7;1.522,8;656,7;1.805,9;1.989,2;10.679,5;-0,00073584;-0,00073529;0;;;69,43601601;61,8655819;7,57043411;139.595,1;180.157,15981731;139.319,54303311;10.679,5;1.805,9;1.522,8;144.017,47932004;-1;0,0797209;0,01137944;0,10023467;;0,01417226;-0,00000441;-0,00000881;0;0,00390547;0,04112188;0,09678082;
1;100.000;10;1;20;0,10971992;100;100;10;0;20;0,60262928;178.626.302,45652175;106,27815179;11,63900967;94,63914211;-1;-1;4;0,99809524;0,99979105;0,05024766;19;18;94,97822174;94,95732485;3.261,9;2.935,2;2.924,5;0;12.813,35;84.952,2;15.429,05;2.900,8;346,2;1.753,05;100;6.188;242;10,5;272;371,15;0;0;1.793;0,3;0;0;203.753,8;183.989;182.016,9;182.540,45;19.988,8;23.878,9;19.662,55;206.044,93699078;185.857,24177591;22.002,32553912;1.866,19455223;1.535,9563803;2.248,44045878;2.732,42950678;88,3;95;190,85;1.893,15;972;3.409,7;2.671,15;17.938,35;-0,00047664;-0,00047642;0,00190476;;;105,08643646;93,55636089;11,53007557;182.540,45;253.439,77714233;182.050,8043571;17.938,35;3.409,7;1.893,15;190.319,5186178;-1;0,09090579;0,00761352;0,1392866;;0,01389634;-0,00000277;-0,00000555;0,00002243;0,00632558;0,04233589;0,09304234;
1;100.000;10;1;30;0,11040309;100;100;10;0;30;0,61457246;171.896.054,4125024;139,19588542;15,32864708;123,86723833;-1;-1;8;0,99711087;0,99968102;0,03336351;28,33333333;27,53333333;96,65401859;96,74250458;4.418,7;3.881,66666667;3.856,46666667;0;17.372,86666667;63.738,66666667;21.921,16666667;4.811,86666667;899,13333333;1.962,4;100;6.268;322;16,33333333;352;531,9;0;0;1.106,63333333;0,33333333;0;0;240.534,06666667;210.040,3;209.673,73333333;208.555,03333333;23.129,8;28.252,76666667;22.714,26666667;242.644,24408109;211.939,49054941;31.161,21465986;2.036,70925121;1.640,46881354;3.712,16583078;2.781,84955692;97,46666667;105,73333333;218,03333333;2.128,96666667;1.372,36666667;5.403,8;3.507,73333333;25.046,16666667;-0,0003614;-0,00036127;0,00288913;;;136,7329702;121,63722842;15,09574179;208.555,03333333;306.837,77175803;209.505,85177393;25.046,16666667;5.403,8;2.128,96666667;219.405,75089818;-1;0,09025707;0,00590073;0,16431347;;0,01443589;-0,00000214;-0,00000428;0,00003479;0,00866868;0,04225725;0,09378512;
1;100.000;10;1;50;0,10889034;100;100;10;0;50;0,62723047;157.196.418,80806956;180,56406254;19,47107089;161,09299166;-1;-1;25;0,99292186;0,99923188;0,0196138;41,8;40,9;98,00015167;98,01161818;8.354,6;5.712,56;5.658,86;0;28.874,9;79.226,66;33.535,6;7.782,96;2.910,44;2.480,3;100;6.428,1;482;29,4;512;852,16;0;0;2.549,54;0,22;0;0;319.848,68;270.403,54;272.346;268.942,54;30.668,46;37.975,84;29.806,3;322.268,0458305;272.413,7467743;47.788,8542387;2.852,7627591;1.993,85695587;6.426,75823756;3.054,40849626;121,4;135,14;283,8;2.713,14;1.977,96;8.420,38;5.091,7;38.664,78;-0,00028329;-0,00028321;0,00707814;;;174,53650352;155,53116369;19,00533983;268.942,54;429.934,63215611;272.419,25973439;38.664,78;8.420,38;2.713,14;286.473,02421992;-1;0,08825805;0,00451535;0,20898217;;0,01478861;-0,0000017;-0,00000341;0,00008784;0,01010419;0,04212145;0,09603172;
1;100.000;10;1;60;0,10901555;100;100;10;0;60;0,63651323;150.148.693,50449276;196,19615285;21,23395067;174,96220218;-1;-1;31;0,9917034;0,99909538;0,01675033;48,26666667;47,5;98,32743421;98,30558916;9.633,4;6.211,78333333;6.148,93333333;163,31666667;29.996,2;76.215,66666667;34.900,31666667;8.677,85;3.562,1;2.705,01666667;100;6.508;562;29,16666667;591,96666667;1.012,53333333;0;0;3.990,53333333;0,26666667;0;0;347.787,13333333;298.470,15;296.655,58333333;296.991,6;34.951,23333333;43.341,91666667;34.595,86666667;350.269,12791427;300.549,68561449;51.439,78226865;2.636,54775064;2.274,00024965;3.685,26652491;3.956,18055266;135,28333333;148,76666667;328,71666667;2.980,2;2.177,38333333;9.352,21666667;5.974,95;41.320,76666667;-0,00025947;-0,0002594;0,00803942;;;189,54721795;168,88362333;20,66359462;296.991,6;476.344,15382035;296.713,33455163;41.320,76666667;9.352,21666667;2.980,2;316.543,81767876;-1;0,08575681;0,00407752;0,22530928;;0,01533867;-0,00000162;-0,00000324;0,00010314;0,01091919;0,04277087;0,10088282;
1;100.000;10;1;10;0,50716413;100;100;10;0;10;0,68528821;190.915.285,8415652;61,10459198;30,91604686;30,18854512;-1;-1;23;0,99535133;0,99764258;0,09997728;10;9;89,96487588;90,03566586;7.216,3;6.562,1;6.481,7;2.535,8;42.373,5;42.185,6;9.082,9;1.422,8;2.083,7;1.559,3;100;6.108;162;70;188;218,8;698,8;0,1;3.669,3;3;0;0;167.963,8;154.370,9;155.143,8;153.057,9;16.698,2;19.248,5;16.104,7;169.883,30746431;156.066,91121645;13.064,00601146;1.977,3686318;1.395,44279302;3.928,89918725;1.961,89095341;83,8;89,1;163,5;1.679,5;591;1.787,9;1.744,4;10.664,9;-0,00017895;-0,00017892;0,00411449;;;33,47262348;16,49650942;16,97611406;153.057,9;440.329,21107405;155.087,71519198;10.664,9;1.787,9;1.679,5;298.751,60533472;-1;0,34965313;0,05710722;0,42206476;;0,05950875;-0,00000464;-0,00000947;0,00022366;0,01298678;0,04147762;0,04861775;
1;100.000;10;1;20;0,51348386;100;100;10;0;20;0,65344525;182.604.840,3153913;87,76391645;44,84539002;42,91852643;-1;-1;75;0,99031269;0,99502644;0,05011832;19;18;94,99306054;94,98262905;13.508,25;11.601,8;11.473,75;638,4;39.627,7;34.892,95;16.518,3;3.036,35;2.912,2;2.046,05;100;6.188;242;70;267,85;384;139;0,05;9.032,95;4,7;0;0;235.857,8;212.837,45;213.337,4;211.480,6;21.015,85;24.464,5;20.772,4;237.928,04009376;214.620,91077019;22.814,40654826;1.967,08374344;1.721,54170926;4.180,90169402;2.301,131044;103,85;115,85;200,55;2.202,05;857,85;3.473,85;2.364,2;18.630,45;-0,00012271;-0,0001227;0,00920132;;;36,45575254;17,73631187;18,71944066;211.480,6;868.034,16912277;213.349,59770162;18.630,45;3.473,85;2.202,05;548.610,26334022;-1;0,40702757;0,04069273;0,55967392;;0,054856;-0,00000292;-0,00000588;0,00045812;0,01860201;0,04112308;0,04457604;
1;100.000;10;1;30;0,51566186;100;100;10;0;30;0,67449017;174.770.994,78216425;110,76373993;56,71165671;54,05208322;-1;-1;146;0,98562192;0,99258633;0,03332398;28,5;27,86666667;96,69435123;96,641489;20.606,76666667;17.181,56666667;16.956,26666667;618,23333333;48.789,76666667;36.922,26666667;23.819,13333333;5.211,8;5.108,26666667;2.350,26666667;100;6.268;322;70;347,93333333;549,63333333;396,16666667;0,06666667;8.824,66666667;4,5;0;0;281.807,46666667;250.210,5;249.059,16666667;248.895,16666667;24.409,6;29.002;24.066,26666667;283.998,30880187;252.068,03858812;33.030,05284716;2.211,04997609;1.855,57418933;3.686,42608896;3.388,20889582;117;132,76666667;229,7;2.539;1.318,2;5.682,03333333;3.048,53333333;26.658,16666667;-0,00009654;-0,00009653;0,01409266;;;39,97363827;19,36075762;20,61288065;248.895,16666667;1.221.624,54813064;249.125,46854723;26.658,16666667;5.682,03333333;2.539;750.494,60845116;-1;0,40839;0,03204863;0,62957809;;0,05482505;-0,00000226;-0,00000454;0,00069683;0,02325817;0,04036639;0,04336106;
1;100.000;10;1;40;0,51650328;100;100;10;0;40;0,6638631;164.588.126,89705798;126,54309592;64,64574901;61,8973469;-1;-1;249;0,97856783;0,98893517;0,02459962;35;34;97,50242776;97,52189708;27.916,2;22.087,4;21.758,525;1.216,175;51.574,075;41.780,575;30.308,1;7.574,2;6.896,875;2.685,8;100;6.348;402;70;427,775;714,65;519,05;0,075;13.702;5,3;0;0;331.542,875;288.564,35;288.834,8;287.183,5;28.526,575;34.391,65;28.179,8;333.833,53318581;290.522,52051726;43.007,81935565;2.458,97191179;2.117,40106056;4.702,31482386;3.107,73916937;134,075;154,3;267,3;2.913,525;1.775,175;8.095,075;3.867,8;34.160,7;-0,0000841;-0,0000841;0,02093845;;;39,08285258;18,89643086;20,18642172;287.183,5;1.712.698,63142523;288.887,65326338;34.160,7;8.095,075;2.913,525;1.023.466,74729341;-1;0,41025944;0,02788055;0,69001776;;0,05558185;-0,00000198;-0,00000399;0,00104974;0,02490308;0,04033795;0,04360637;
1;100.000;10;1;50;0,51704811;100;100;10;0;50;0,67204996;159.092.861,62302607;136,93553711;69,97484214;66,96069497;-1;-1;302;0,97607433;0,98762911;0,0197353;41,78;40,98;97,99936954;97,98967422;35.264,86;27.870,4;27.469,96;874,76;62.264,74;47.978,86;38.381,94;9.104,44;8.123,06;3.067,68;100;6.428;482;68,6;507,88;879,08;870,38;0,02;16.332,52;3,88;0;0;385.564,12;332.264,7;332.196,62;330.857,54;32.498,34;39.321,7;32.337,12;388.017,4946896;334.296,7921805;53.676,1711924;2.636,96667911;2.472,79212488;5.081,61014838;3.710,16462301;149,24;175;304,74;3.338,26;2.044,58;9.668,34;4.554,02;43.244,28;-0,00007748;-0,00007748;0,02339634;;;35,69477711;17,23886005;18,45591705;330.857,54;2.400.118,78301957;332.319,45545625;43.244,28;9.668,34;3.338,26;1.400.765,15544059;-1;0,4137803;0,02566033;0,74257486;;0,0550306;-0,0000018;-0,00000363;0,00115958;0,02719391;0,03926457;0,04330632;
