SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,AvgNumNodesPrepare,LocalReadOnlyTxLocalServiceTime,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,NumLocalRemoteLockContentions,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumRemoteLocalLockContentions,NumLocalLocalLockContentions,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,NumRemoteRemoteLockContentions,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180012,0,157,1679,1,11,101797.58084276355,45293.98184076433,33.706758116883115,20405.509774865994,0.7153292336019178,1.9599932766666666E8,1,100000,UNIFORM,0,259,1890,17544,10,0,581,4007.0,0,10.0,9,3750,0,16871,47918,112,397,43169,1989,0,339,20450,393.0,17418,0,9,1.0836508387830537,99283.0,10,487,2778,14308,0.914488017429194,0.0,43571.0,16580,0,0,0,0.16617033948779036,89160,1.0,11.0,0,3657,16167,1690.0,0.0,262.0,0,0,0.12507444907683143,1,114,18081,9.840764331210192,0,0,0.0,6830,438,562,0,0.91504329004329,0,8,0,9.848719475878498,445,10.0,1.0713676428774523,179,8887,0.0,3537,1,1373,8786.0,4559,79220,0.0,4,665,0.0,30464,123,12,10.0,0,1,9.874925550923168,1330,663,2245,6012,9,18360,70,0.0,43564,121,0,0
1,180020,0,176,1796,0,11,94849.64416592428,45282.79430113637,25.44399445284922,19151.65863140312,0.6854594531468937,1.7419333966666666E8,1,100000,UNIFORM,0,248,1913,16371,10,0,581,4064.0,0,10.0,9,3801,1,16231,32340,109,334,43320,1345,0,351,20663,254.0,16396,0,9,1.0695635229929852,92717.0,10,546,2066,16713,0.9107505070993914,0.0,43710.0,17680,0,0,0,0.1653674832962138,84451,0.0,10.0,0,3421,14920,1807.0,0.0,200.0,0,0,0.155902004454343,1,109,19423,9.880681818181818,0,0,0.0,7330,1137,562,0,0.9112455874936964,0,9,0,9.846325167037861,523,10.0,1.1119771369186802,164,8377,1.0,3312,1,1376,9502.0,4261,73864,0.0,7,526,0.0,34228,130,11,10.0,0,1,9.844097995545656,1490,570,2223,6013,9,19720,70,0.0,43704,96,0,1636
2,180036,0,153,1602,0,8,106829.62726154807,47416.3145620915,29.344791264889395,21041.340996254683,0.7459268916477442,1.685303172173913E8,1,100000,UNIFORM,0,261,2350,17684,10,0,581,4614.0,0,10.0,9,4339,0,18996,0,126,499,44722,2939,0,377,22752,313.0,18996,0,9,1.0809654024491737,104170.0,10,574,4159,15936,0.9128205128205128,0.0,45249.0,15800,0,0,0,0.18601747815230962,69960,0.0,8.0,0,3819,16127,1610.0,0.0,219.0,0,0,0.1373283395755306,1,123,17252,9.856209150326798,0,0,0.0,8002,0,562,0,0.913216108905275,0,9,0,9.827715355805243,0,10.0,1.0450600404232553,189,0,0.0,3747,1,1362,10251.0,4776,83492,0.0,2,787,0.0,35918,140,8,10.0,0,0,9.86267166042447,1535,750,2698,6013,9,17550,70,0.0,45242,103,0,0
3,180031,0,172,1672,0,9,102170.16715370813,45649.134784883725,23.13739557474366,20080.259569377988,0.694976517742186,1.7401399E8,1,100000,UNIFORM,0,260,1987,17086,10,0,581,4555.0,0,10.0,9,4276,0,18607,0,161,436,43508,1305,0,378,21942,293.0,18607,0,9,1.0795879021568864,100024.0,10,564,1549,14315,0.9067245119305857,0.0,44013.0,16420,0,0,0,0.18660287081339713,73764,0.0,9.0,0,3678,15548,1681.0,0.0,219.0,0,0,0.17942583732057416,1,121,18128,9.843023255813954,0,0,0.0,7924,0,562,0,0.9071775499190502,0,9,0,9.829545454545455,0,10.0,1.097120134956019,186,0,0.0,3629,1,1376,10159.0,4560,80268,0.0,7,576,0.0,32668,138,9,10.0,0,0,9.820574162679426,1530,529,2387,6012,9,18440,70,0.0,44006,112,0,0
4,180079,0,165,1627,1,5,104767.76325015366,48606.4010969697,28.738319799777532,20156.85607928703,0.7159703910201779,1.7480069472E8,1,100000,UNIFORM,0,255,2285,16934,10,0,581,4603.0,0,10.0,9,4337,0,18215,0,126,372,46134,3324,0,385,22794,304.0,18215,0,9,1.0832329490047612,102233.0,10,570,6689,15079,0.9079241071428571,0.0,46510.0,15990,0,0,0,0.18500307314074985,83250,1.0,5.0,0,3781,15464,1632.0,0.0,218.0,0,0,0.1720958819913952,1,118,17619,9.824242424242424,0,0,0.0,8080,562,562,0,0.9082313681868743,0,7,0,9.832821143208358,496,10.0,1.0508805139677624,170,22535,0.0,3774,1,1368,10326.0,4687,82407,0.0,12,644,0.0,40239,129,6,10.0,0,1,9.827904118008604,1538,1116,2642,6013,9,17920,70,0.0,46492,105,0,0
5,179989,0,186,1760,1,7,96878.63277897728,43802.6143655914,24.48029785056295,19248.336292045457,0.7553459162053826,1.7548071617391303E8,1,100000,UNIFORM,0,239,1898,16465,10,0,581,4095.0,0,10.0,9,3832,0,17233,16811,112,360,41532,1501,0,356,20950,266.0,17232,0,9,1.077512183801346,94615.0,10,552,2438,14108,0.9044193216855088,0.0,41874.0,17250,0,0,0,0.18806818181818183,68059,1.0,7.0,0,3492,14987,1767.0,0.0,207.0,0,0,0.19886363636363635,1,113,19129,9.806451612903226,0,0,0.0,7465,390,562,0,0.9048106448311156,0,8,0,9.832386363636363,399,10.0,1.08081452688983,163,9351,0.0,3438,1,1378,9665.0,4314,75651,0.0,8,524,0.0,34976,124,8,10.0,0,1,9.801136363636363,1511,654,2237,6012,9,19460,70,0.0,41866,133,0,0
6,180035,0,167,1730,1,15,98367.45445606936,44879.031137724545,19.32014898065865,19547.038205202312,0.7218332867076953,1.7761667266666666E8,1,100000,UNIFORM,0,256,2050,16592,10,0,581,3916.0,0,10.0,9,3654,0,16729,20017,116,397,42819,1977,0,361,21808,268.0,16739,0,9,1.0718425577988664,96275.0,10,562,2345,13261,0.9119662625197681,0.0,43196.0,16990,0,0,0,0.17976878612716762,99679,1.0,15.0,0,3553,15105,1745.0,0.0,212.0,0,0,0.1791907514450867,1,118,18659,9.844311377245509,0,0,0.0,7700,451,562,0,0.9127025614218505,0,8,0,9.835260115606937,459,10.0,1.069995541685243,173,27701,0.0,3485,1,1370,9930.0,4391,77014,0.0,8,551,0.0,40633,134,16,10.0,0,1,9.820809248554914,1530,632,2391,6013,9,18970,70,0.0,43188,94,0,0
7,180045,0,176,1828,0,9,93341.56893654268,43285.20888636363,20.001493293591654,18333.859762035012,0.6655700488525945,1.6581187433333334E8,1,100000,UNIFORM,0,237,1751,15651,10,0,581,4083.0,0,10.0,9,3825,0,16754,21021,128,402,41308,1516,0,345,20283,261.0,16766,0,9,1.0735330681253108,91358.0,10,533,2746,15325,0.9121756487025948,0.0,41667.0,17990,0,0,0,0.19091903719912473,81408,0.0,9.0,0,3396,14218,1837.0,0.0,205.0,0,0,0.1586433260393873,1,114,19691,9.772727272727273,0,0,0.0,7191,0,562,0,0.912568306010929,0,9,0,9.830962800875273,0,10.0,1.0678766782695177,151,25377,0.0,3284,1,1374,9338.0,4222,73342,0.0,5,480,0.0,33812,125,9,10.0,0,1,9.841356673960613,1479,614,2090,6013,9,20040,70,0.0,41661,110,0,0
8,180035,0,175,1890,0,11,90682.95265396826,39715.406154285716,25.920381021194604,18517.399426455024,0.6076180563626403,1.7327302666666666E8,1,100000,UNIFORM,0,257,1852,15836,10,0,581,4030.0,0,10.0,9,3754,0,16963,0,110,393,37726,1098,0,330,21144,235.0,16963,0,9,1.074512047809778,88822.0,10,532,1365,13950,0.9152542372881356,0.0,38122.0,18550,0,0,0,0.16507936507936508,64395,0.0,11.0,0,3270,14487,1901.0,0.0,193.0,0,0,0.18518518518518517,1,114,20338,9.862857142857143,0,0,0.0,6780,0,562,0,0.9157032755298651,0,9,0,9.847619047619048,0,10.0,1.081441922563418,157,11467,0.0,3167,1,1370,8935.0,4033,70573,0.0,10,485,0.0,34591,128,11,10.0,0,4,9.814814814814815,1490,593,2196,6013,9,20650,70,0.0,38115,99,0,0
9,180026,0,195,1826,0,9,93357.19155969332,41768.73985128205,21.213412315270936,19193.16375301205,0.6475144401167054,1.82757165E8,1,100000,UNIFORM,0,241,1952,16363,10,0,581,4058.0,0,10.0,9,3787,0,15608,0,106,309,39351,1440,0,344,18391,253.0,15608,0,9,1.0800315036956258,91470.0,10,535,1985,14300,0.9035131123206334,0.0,39753.0,17940,0,0,0,0.19058050383351588,79075,0.0,9.0,0,3349,14904,1835.0,0.0,197.0,0,0,0.17524644030668127,1,107,19862,9.846153846153847,0,0,0.0,7067,0,562,0,0.9039408866995073,0,9,0,9.825848849945235,0,10.0,1.0911183811947172,156,0,0.0,3187,1,1386,9233.0,4211,72560,0.0,11,535,0.0,27525,126,9,10.0,0,0,9.824753559693319,1494,565,2268,6012,9,20210,70,0.0,39746,116,0,0
