SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,AvgNumNodesPrepare,LocalReadOnlyTxLocalServiceTime,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180007,0,12010,0,0,0,NaN,14962.368050957535,10.985,NaN,0.6351070303007006,2.1791509704347825E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1804.0,0,0.0,0,1521,0,279,0,0,210,13366,0,0,146,279,84.0,279,0,0.0,0.0,10,0,0,0,0.0,0.0,13777.0,0,0,0,0,0.0,80642,0.0,0.0,0,1340,0,0.0,0.0,82.0,0.0,1,0,108349,9.021565362198169,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,1,211,0.0,1446,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,120100,0,0.0,13768,0,0,0
1,180013,0,12872,0,0,0,NaN,13961.777921845867,9.337367075823494,NaN,0.6447292323901663,1.7612877033333334E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1788.0,0,0.0,0,1528,0,240,0,0,186,12601,0,0,149,240,63.0,240,0,0.0,0.0,10,0,0,0,0.0,0.0,12968.0,0,0,0,0,0.0,68461,0.0,0.0,0,1268,0,0.0,0.0,62.0,0.0,1,0,115906,9.004505904288377,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,1,211,0.0,1367,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,128720,0,0.0,12961,0,0,0
2,180015,0,11670,0,0,0,NaN,15397.159155184234,12.998633076263925,NaN,0.7124286764602996,1.7670587408695653E8,1,100000,UNIFORM,0,0,0,0,0,0,188,2044.0,0,0.0,0,1697,0,326,0,0,224,13653,0,0,163,326,70.0,326,0,0.0,0.0,10,0,0,0,0.0,0.0,14152.0,0,0,0,0,0.0,96462,0.0,0.0,0,1359,0,0.0,0.0,69.0,0.0,1,0,105168,9.011825192802057,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,1,211,0.0,1475,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,116700,0,0.0,14141,0,0,0
3,180013,0,12671,0,0,0,NaN,14181.874038670981,9.671579512272118,NaN,0.6599476776590288,1.76054921E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1822.0,0,0.0,0,1552,0,253,0,0,191,12795,0,0,151,253,64.0,253,0,0.0,0.0,10,0,0,0,0.0,0.0,13178.0,0,0,0,0,0.0,69454,0.0,0.0,0,1285,0,0.0,0.0,61.0,0.0,1,0,114149,9.008681240628206,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,1,211,0.0,1388,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,126710,0,0.0,13169,0,0,0
4,179991,0,12606,0,0,0,NaN,14253.694546961764,11.474609551007457,NaN,0.6322605540317002,1.8299094295652175E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1846.0,0,0.0,0,1563,0,257,0,0,193,12831,0,0,152,257,64.0,257,0,0.0,0.0,10,0,0,0,0.0,0.0,13231.0,0,0,0,0,0.0,76774,0.0,0.0,0,1286,0,0.0,0.0,63.0,0.0,1,0,113576,9.0096779311439,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,1,211,0.0,1391,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,126060,0,0.0,13222,0,0,0
5,180004,0,12446,0,0,0,NaN,14439.19470528684,12.866041780491726,NaN,0.6738900259884228,1.868256803478261E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1834.0,0,0.0,0,1553,0,270,0,0,195,13004,0,0,151,270,63.0,270,0,0.0,0.0,10,0,0,0,0.0,0.0,13404.0,0,0,0,0,0.0,78513,0.0,0.0,0,1306,0,0.0,0.0,62.0,0.0,1,0,112184,9.013659006909851,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,1,211,0.0,1411,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,124460,0,0.0,13396,0,0,0
6,180013,0,12569,0,0,0,NaN,14300.215122682792,9.01188543241308,NaN,0.5841962511479165,1.87425315E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1809.0,0,0.0,0,1545,0,246,0,0,191,12937,0,0,150,246,62.0,246,0,0.0,0.0,10,0,0,0,0.0,0.0,13309.0,0,0,0,0,0.0,74423,0.0,0.0,0,1300,0,0.0,0.0,60.0,0.0,1,0,113107,8.998886148460498,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,1,211,0.0,1405,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,125690,0,0.0,13301,0,0,0
7,180005,0,12712,0,0,0,NaN,14137.571586217746,8.517701856513531,NaN,0.6627136813318808,1.833847707826087E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1843.0,0,0.0,0,1564,0,252,0,0,194,12739,0,0,152,252,64.0,252,0,0.0,0.0,10,0,0,0,0.0,0.0,13127.0,0,0,0,0,0.0,73189,0.0,0.0,0,1278,0,0.0,0.0,62.0,0.0,1,0,114167,8.981041535556955,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,1,211,0.0,1384,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,127120,0,0.0,13120,0,0,0
8,180006,0,12356,0,0,0,NaN,14544.765104969247,10.55658902557462,NaN,0.6468164030598783,1.82602143E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1871.0,0,0.0,0,1593,0,271,0,0,197,13104,0,0,155,271,63.0,271,0,0.0,0.0,10,0,0,0,0.0,0.0,13501.0,0,0,0,0,0.0,77479,0.0,0.0,0,1319,0,0.0,0.0,61.0,0.0,1,0,110980,8.981871155713824,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,1,211,0.0,1425,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,123560,0,0.0,13494,0,0,0
9,180006,0,12584,0,0,0,NaN,14281.798978703115,11.161888906547999,NaN,0.6530138520190663,1.7001126191304347E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1791.0,0,0.0,0,1524,0,248,0,0,190,12899,0,0,149,248,64.0,248,0,0.0,0.0,10,0,0,0,0.0,0.0,13278.0,0,0,0,0,0.0,72628,0.0,0.0,0,1301,0,0.0,0.0,63.0,0.0,1,0,113182,8.994119516846789,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,1,211,0.0,1404,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,125840,0,0.0,13268,0,0,0
