SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalRemoteLockContentions,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalLocalLockContentions,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,RemoteRemoteLockContentions,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,RemoteLocalLockContentions,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180087,0,730,792,16,447,106406.50178661617,55937.479884931505,18.78372040302267,26622.88124621212,0.7267509545299142,8.54746128E7,1,1000,UNIFORM,0,269,2398,22969,10,0,749,5140.0,Not_Available,0,5.0,4834,9,8,12863,31554,160,-659,52753,2587,0,426,21199,182.0,16048,9,1.0628775576485872,102797.0,10,Not_Available,596,3139,18528,0.5203679369250985,0.0,53301.0,3940,0,0,0,0.2803030303030303,75103,16.0,436.0,0,4809,21047,1239.0,0.0,140.0,0.025252525252525252,1,117,14998,9.841095890410958,0,Not_Available,0,0.0,6865,778,722,0,0.6322418136020151,0,8,9.866161616161616,352,10.0,0.5066580058460539,213,0,11.0,4594,Not_Available,1,2139,9245.0,5433,76598,0.0,334,825,0.0,21474,163,463,5.0,3,0,4.974747474747475,1639,626,2833,3477,9,15220,70,1.6020506247997436E-4,53290,78,0,3298
1,180003,0,862,882,21,501,94204.58940022676,50320.18009396752,17.364233009708737,23649.202128117915,0.7550705910720019,8.620993704347827E7,1,1000,UNIFORM,0,238,2083,20643,10,0,749,4505.0,Not_Available,0,5.0,4234,9,3,12949,22736,132,-669,48155,1957,0,384,21285,160.0,14644,9,1.072659881155498,92192.0,10,Not_Available,594,2437,17417,0.5057339449541285,0.0,48653.0,4315,0,0,0,0.272108843537415,68574,21.0,496.0,0,4394,19056,1383.0,0.0,126.0,0.10770975056689343,1,102,17199,9.879350348027842,0,Not_Available,0,0.0,6253,592,722,0,0.6195939982347749,0,8,9.844671201814059,232,10.0,0.5200917809025122,184,0,5.0,4346,Not_Available,1,2239,8533.0,4883,68858,0.0,357,566,0.0,21612,148,522,5.0,2,0,4.892290249433106,1546,599,2415,3477,9,17440,70,1.4316392269148176E-4,48646,104,0,1903
2,180017,0,813,845,20,445,99774.87556449704,54076.450174661746,40.733857277437586,24852.76681775148,0.7430138073421912,7.515623860869566E7,1,1000,UNIFORM,0,252,2437,21403,10,0,749,4812.0,Not_Available,0,5.0,4520,9,0,15205,24199,129,-674,51681,1887,0,412,21546,183.0,17179,9,1.0661421194984018,97588.0,10,Not_Available,625,2355,15477,0.5096501809408926,0.0,52213.0,4140,0,0,0,0.3029585798816568,66431,20.0,442.0,0,4675,19740,1290.0,0.0,135.0,0.10059171597633136,1,108,16323,9.868388683886838,0,Not_Available,0,0.0,6717,239,722,0,0.6170513424399435,0,8,9.822485207100591,216,10.0,0.48069830341775266,194,24843,3.0,4598,Not_Available,1,2149,9104.0,5228,73034,0.0,341,705,0.0,21795,153,465,5.0,3,1,4.899408284023669,1625,613,2855,3477,9,16580,70,3.0707815138952864E-4,52205,62,0,0
3,180034,0,798,842,24,450,101806.4507007126,54259.03077944862,19.14696641438032,25494.104561757722,0.6832166985952806,7.5311986E7,1,1000,UNIFORM,0,232,2421,21961,10,0,749,4636.0,Not_Available,0,5.0,4361,9,3,14370,28383,137,-682,51666,1869,0,395,21239,168.0,17108,9,1.0746408322783068,99539.0,10,Not_Available,596,2419,15409,0.5134146341463415,0.0,52198.0,4155,0,0,0,0.3171021377672209,69199,24.0,441.0,0,4698,20107,1292.0,0.0,125.0,0.06532066508313539,1,100,16131,9.864661654135338,0,Not_Available,0,0.0,6485,401,722,0,0.6225165562913907,0,8,9.808788598574822,236,10.0,0.49127538944239557,187,0,9.0,4554,Not_Available,1,2199,8799.0,5264,74497,0.0,395,623,0.0,21457,143,474,5.0,6,0,4.934679334916865,1580,589,2778,3477,9,16400,70,6.121824303642485E-4,52184,76,0,1461
4,180070,0,733,825,11,476,105424.47491393938,55624.44769577081,15.747089486552568,28042.231444848487,0.7639311899129207,8.473813166666667E7,1,1000,UNIFORM,0,244,2585,24407,10,0,749,4829.0,Not_Available,0,5.0,4534,9,3,14082,26662,147,-716,53007,2297,0,405,20872,171.0,15987,9,1.0756283910973314,103105.0,10,Not_Available,639,2788,18054,0.5295250320924262,0.0,53519.0,4025,0,0,0,0.3975757575757576,73791,11.0,469.0,0,4747,22556,1301.0,0.0,129.0,0.12121212121212122,1,105,15248,9.778990450204638,0,Not_Available,0,0.0,6610,655,722,0,0.6415647921760391,0,8,9.793939393939393,271,10.0,0.47503045066991473,193,21037,7.0,4654,Not_Available,1,2098,9037.0,5328,75334,0.0,386,717,0.0,21174,150,487,5.0,4,2,4.878787878787879,1647,609,3094,3477,9,15580,70,3.058103975535168E-4,53511,102,0,3626
5,180076,0,620,710,15,445,114861.38785211268,61378.3968967742,30.597722905027936,28653.451111267605,0.8196846874438912,1.0930696766666667E8,1,1000,UNIFORM,0,228,3868,23460,10,0,749,4912.0,Not_Available,0,5.0,4638,9,9,16799,28938,162,-765,57948,3026,0,415,21372,205.0,18647,9,1.0997122893547062,111788.0,10,Not_Available,757,3555,15681,0.5338345864661654,0.0,58584.0,3460,0,0,0,0.44084507042253523,80260,15.0,435.0,0,5411,20678,1155.0,0.0,127.0,0.1267605633802817,1,94,12987,9.772580645161291,0,Not_Available,0,0.0,6615,1546,722,0,0.6536312849162011,0,8,9.757746478873239,410,10.0,0.5071927661323469,184,2283,10.0,5382,Not_Available,1,2153,9160.0,6110,83524,0.0,554,1052,0.0,21498,131,460,5.0,1,1,4.873239436619718,1649,743,4426,3477,9,13300,70,0.0,58565,161,0,3869
6,180014,0,803,865,18,494,99464.4838184971,52324.22100249066,18.63040275229358,26670.931225433524,0.7023297754798424,8.665137266666667E7,1,1000,UNIFORM,0,231,2449,23222,10,0,749,4562.0,Not_Available,0,5.0,4283,9,6,14247,25186,121,-658,49732,1802,0,386,20915,161.0,15999,9,1.0790928050052138,97393.0,10,Not_Available,616,2218,16748,0.5185851318944844,0.0,50240.0,4215,0,0,0,0.36184971098265895,47913,18.0,482.0,0,4507,21378,1359.0,0.0,127.0,0.12716763005780346,1,96,16363,9.829389788293899,0,Not_Available,0,0.0,6344,685,722,0,0.631651376146789,0,8,9.791907514450868,271,10.0,0.49452554744525545,195,23927,12.0,4348,Not_Available,1,2180,8704.0,5052,70986,0.0,446,590,0.0,21205,140,512,5.0,6,1,4.872832369942197,1610,575,2935,3477,9,16680,70,5.838563713326521E-4,50234,103,0,1400
7,180022,0,875,898,19,486,96282.61515812916,50310.65927885714,17.04485557506585,24891.166025612474,0.6815269782979357,6.9512952E7,1,1000,UNIFORM,0,258,2094,21897,10,0,749,4691.0,Not_Available,0,5.0,4403,9,5,11525,23994,128,-618,47973,1752,0,399,21161,159.0,13323,9,1.0566813093382457,94471.0,10,Not_Available,615,2149,19596,0.5064861816130851,0.0,48466.0,4390,0,0,0,0.28507795100222716,58019,19.0,478.0,0,4356,20207,1384.0,0.0,132.0,0.111358574610245,1,111,17472,9.843428571428571,0,Not_Available,0,0.0,6558,604,722,0,0.615891132572432,0,8,9.865256124721604,235,10.0,0.501948281969536,197,1589,8.0,4177,Not_Available,1,2108,8927.0,4889,69846,0.0,287,584,0.0,21676,158,505,5.0,3,1,4.888641425389755,1617,595,2438,3477,9,17730,70,2.8640985249892595E-4,48457,58,0,2815
8,180042,0,988,997,13,498,86398.58384854565,46676.772203441295,19.23208693910256,22214.940312938816,0.5778128708312426,5.5065969666666664E7,1,1000,UNIFORM,0,296,1698,19710,10,0,749,4673.0,Not_Available,0,5.0,4336,9,1,6088,27354,151,-567,44661,1723,0,393,19834,153.0,8459,9,1.0336940482046237,84963.0,10,Not_Available,610,2093,18909,0.5022670025188917,0.0,45146.0,4950,0,0,0,0.2688064192577733,54484,13.0,496.0,0,3993,18196,1495.0,0.0,138.0,0.03510531594784353,1,135,19582,9.804655870445345,0,Not_Available,0,0.0,6448,285,722,0,0.6041666666666666,0,9,9.924774322968906,230,10.0,0.4869650762420069,206,0,2.0,3762,Not_Available,1,1903,8857.0,4484,63044,0.0,162,541,0.0,21057,180,511,5.0,1,0,4.964894684052156,1658,636,1981,3477,9,19850,70,1.3313806417254693E-4,45137,20,0,1605
9,180013,0,853,896,15,468,96350.78755357143,51503.30170574443,26.541435931899642,24802.43386830357,0.7007959041389791,7.954628366666667E7,1,1000,UNIFORM,0,246,2148,21616,10,0,749,4672.0,Not_Available,0,5.0,4397,9,2,15922,23746,121,-604,49080,1984,0,392,21397,155.0,17786,9,1.0714657415437987,94260.0,10,Not_Available,615,2456,20853,0.5122927387078331,0.0,49604.0,4395,0,0,0,0.234375,66938,15.0,463.0,0,4415,19762,1364.0,0.0,123.0,0.09486607142857142,1,103,17279,9.920281359906213,0,Not_Available,0,0.0,6480,595,722,0,0.617831541218638,0,8,9.840401785714286,217,10.0,0.49233882625036135,182,64082,5.0,4200,Not_Available,1,2284,8840.0,4971,69755,0.0,330,580,0.0,21563,146,483,5.0,3,1,4.905133928571429,1605,588,2620,3477,9,17490,70,1.4560279557367502E-4,49595,71,0,1939
