SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,AvgNumNodesPrepare,LocalReadOnlyTxLocalServiceTime,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,NumLocalRemoteLockContentions,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumRemoteLocalLockContentions,NumLocalLocalLockContentions,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,NumRemoteRemoteLockContentions,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180021,0,728,791,11,465,102528.13909481668,56633.57132417583,34.09823007518796,25498.40397850822,0.7868092133808383,6.994546573913044E7,1,1000,UNIFORM,0,265,2203,22305,10,0,749,4927.0,0,5.0,9,4626,5,13488,30759,154,-667,53027,2149,0,421,21949,179.0,16745,2,9,1.0613582208101668,99323.0,10,612,2635,18163,0.5207373271889401,0.0,53540.0,3900,0,0,0,0.25916561314791403,54876,11.0,457.0,0,4823,20276,1256.0,0.0,140.0,0,0,0.0695322376738306,1,121,14983,9.876373626373626,0,0,0.0,6959,1686,722,0,0.6350877192982456,0,9,2,9.852085967130215,443,10.0,0.4669711411172889,205,0,8.0,4564,1,2133,9362.0,5450,74196,0.0,309,724,0.0,22208,165,476,5.0,3,0,4.9304677623261695,1653,623,2543,3477,9,15190,70,3.1720856463124506E-4,53524,56,0,6574
1,180045,0,887,887,11,458,93629.15695828636,51817.68948027057,15.104550156041016,24635.899525366403,0.6680052642648435,7.388098833333333E7,1,1000,UNIFORM,0,263,2148,21466,10,0,749,4809.0,0,5.0,9,4511,1,10930,25574,140,-460,49755,1894,0,404,21199,160.0,13115,2,9,1.0503535628253944,91821.0,10,621,2303,18399,0.5,0.0,50238.0,4375,0,0,0,0.2705749718151071,56733,11.0,454.0,0,4356,19940,1345.0,0.0,133.0,0,0,0.06764374295377677,1,121,17500,9.871476888387825,0,0,0.0,6479,734,722,0,0.6045474810521623,0,9,2,9.857948139797069,249,10.0,0.46196285647680474,198,0,4.0,4101,1,2111,8853.0,4908,67507,0.0,249,626,0.0,21710,164,469,5.0,3,0,4.932356257046223,1612,623,2590,3477,9,17740,70,2.960331557134399E-4,50219,51,0,1959
2,180039,0,896,864,13,455,96958.29390625,53130.62119977678,15.728956014362657,25097.730846064813,0.6935965415897448,7.198430466666667E7,1,1000,UNIFORM,0,274,2126,21970,10,0,749,4893.0,0,5.0,9,4590,2,10135,28714,146,-624,50893,1944,0,411,21079,166.0,13008,2,9,1.0470715654419729,95138.0,10,650,2311,17595,0.4909090909090909,0.0,51367.0,4275,0,0,0,0.2986111111111111,64286,13.0,450.0,0,4501,20493,1319.0,0.0,135.0,0,0,0.052083333333333336,1,120,17341,9.828125,0,0,0.0,6881,606,722,0,0.5978456014362658,0,8,2,9.878472222222221,290,10.0,0.4936265933516621,206,0,5.0,4299,1,2053,9362.0,5049,70317,0.0,259,654,0.0,21682,168,468,5.0,3,0,4.947916666666667,1692,613,2582,3477,9,17600,70,3.017046311660884E-4,51354,39,0,6736
3,180015,0,853,804,8,450,100190.71061194029,55250.123744431425,22.8349536643026,25277.10432835821,0.7114968720619194,7.833210295652173E7,1,1000,UNIFORM,0,245,2732,21465,10,0,749,4698.0,0,5.0,9,4413,4,13132,28254,139,-629,52824,2524,0,407,21189,170.0,15917,5,9,1.068330475646155,97863.0,10,760,3019,16905,0.4852142426071213,0.0,53320.0,3935,0,0,0,0.31592039800995025,75771,8.0,441.0,0,4766,19753,1254.0,0.0,131.0,0,0,0.10572139303482588,1,110,16316,9.859320046893318,0,0,0.0,6637,1192,722,0,0.5966903073286052,0,9,5,9.833333333333334,389,10.0,0.5099384009652632,202,0,9.0,4561,1,2157,9140.0,5345,72879,0.0,365,665,0.0,21493,155,458,5.0,5,0,4.894278606965174,1602,746,3238,3477,9,16570,70,7.94912559618442E-4,53312,72,0,6339
4,179998,0,739,806,15,448,101454.55485235731,56081.20569824087,23.168022410358564,25661.312317617867,0.8044361562730018,8.247921426086956E7,1,1000,UNIFORM,0,240,2836,21719,10,0,749,4664.0,0,5.0,9,4371,4,12728,24274,141,-688,53188,2355,0,405,21141,177.0,14660,2,9,1.076780290246372,99195.0,10,637,2924,37358,0.5216828478964401,0.0,53930.0,3930,0,0,0,0.4119106699751861,75373,15.0,440.0,0,4914,19679,1254.0,0.0,128.0,0,0,0.12406947890818859,1,101,15117,9.764546684709066,0,0,0.0,6620,739,722,0,0.6319721115537849,0,8,2,9.80272952853598,278,10.0,0.49046628044321955,201,0,8.0,4703,1,2099,9029.0,5529,73871,0.0,366,739,0.0,21566,147,463,5.0,4,0,4.875930521091812,1628,604,3337,3477,9,15450,70,3.168567807351077E-4,53922,93,0,2577
5,180084,0,665,675,15,445,117617.07005037037,67602.09138646616,41.08839722222222,32276.001066666668,0.7988034532356003,9.314531566666667E7,1,1000,UNIFORM,0,230,3102,27942,10,0,749,5016.0,0,5.0,9,4737,7,16407,27448,155,-631,64035,2567,0,422,22615,204.0,18548,5,9,1.099731148380489,114487.0,10,621,2997,16947,0.503731343283582,0.0,64734.0,3280,0,0,0,0.43703703703703706,104846,15.0,431.0,0,5410,25873,1120.0,0.0,131.0,0,0,0.14074074074074075,1,95,13105,9.8,0,0,0.0,6779,1456,722,0,0.6305555555555555,0,8,5,9.76,288,10.0,0.5029232279264285,188,13106,14.0,5149,1,2141,9163.0,6148,82511,0.0,495,1030,0.0,22806,139,460,5.0,7,3,4.859259259259259,1624,608,3600,3477,9,13400,70,8.873114463176575E-4,64725,161,0,4670
6,180012,0,780,813,15,483,103909.57868388684,51825.270093589745,23.63084744141559,29314.505188191884,0.6998692958723892,8.442121286956522E7,1,1000,UNIFORM,0,229,2745,25484,10,0,749,4645.0,0,5.0,9,4368,6,13628,25866,127,-614,49375,2205,0,394,21377,163.0,16002,1,9,1.0823126704818955,101557.0,10,677,2657,16460,0.5103578154425612,0.0,49795.0,3960,0,0,0,0.3234932349323493,75288,15.0,474.0,0,4617,23791,1296.0,0.0,128.0,0,0,0.12915129151291513,1,99,15665,9.846153846153847,0,0,0.0,6464,778,722,0,0.6269727403156384,0,8,1,9.821648216482165,292,10.0,0.49018559127132694,192,0,9.0,4423,1,2181,8869.0,5206,72561,0.0,373,624,0.0,21657,144,498,5.0,3,0,4.870848708487085,1592,643,3204,3477,9,15930,70,1.5342129487572875E-4,49780,117,0,2357
7,180047,0,1075,1109,12,513,79229.88506311993,44188.47410697675,14.539844222960502,21529.948569882778,0.45367281640953966,5.068297216E7,1,1000,UNIFORM,0,0,1314,19572,10,0,749,4968.0,0,5.0,9,4586,0,0,0,0,-509,42556,1351,0,402,0,0.0,0,0,9,0.0,77945.0,10,623,1628,0,0.5077838827838828,0.0,42997.0,5545,0,0,0,0.0,42915,12.0,513.0,0,3655,18321,1622.0,0.0,0.0,0,0,0.0,1,0,21840,10.0,0,0,0.0,6566,212,722,0,0.6031746031746031,0,9,0,10.0,207,10.0,0.0,0,0,0.0,3223,1,0,9087.0,4125,56647,0.0,0,0,0.0,0,0,525,5.0,0,0,5.0,1752,657,1536,3477,9,21840,70,0.0,42988,0,0,0
8,180030,0,910,878,12,462,100392.19282915717,49122.24046263737,18.173997789566755,29616.3090808656,0.6595337294904248,6.4514653333333336E7,1,1000,UNIFORM,0,260,1868,26793,10,0,749,4661.0,0,5.0,9,4357,1,7994,23344,134,-582,46809,1776,0,393,21620,160.0,10337,0,9,1.0528602977844268,98518.0,10,601,2146,20321,0.49105145413870244,0.0,47336.0,4330,0,0,0,0.3086560364464693,66423,12.0,459.0,0,4329,25144,1340.0,0.0,133.0,0,0,0.0683371298405467,1,114,17609,9.820879120879122,0,0,0.0,6379,433,722,0,0.5977011494252874,0,8,0,9.876993166287017,209,10.0,0.4808719811925625,198,19806,3.0,4162,1,2105,8737.0,4851,69188,0.0,285,602,0.0,22362,159,474,5.0,2,1,4.931662870159453,1618,606,2286,3477,9,17880,70,0.0,47327,48,0,2731
9,180056,0,892,879,17,471,92667.9537519909,51603.331322869955,24.54539220894201,24322.228645051197,0.7351855064453097,8.477724832E7,1,1000,UNIFORM,0,237,1911,21464,10,0,749,4552.0,0,5.0,9,4281,2,14742,23926,108,-584,49583,1767,0,385,22950,149.0,16907,1,9,1.0696750902527077,90874.0,10,588,2163,20018,0.49632975719932243,0.0,49996.0,4335,0,0,0,0.2366325369738339,60827,17.0,467.0,0,4421,19868,1350.0,0.0,124.0,0,0,0.06825938566552901,1,101,17501,9.91255605381166,0,0,0.0,6208,830,722,0,0.6051350154935813,0,8,1,9.850967007963595,237,10.0,0.5003008423586041,177,915,4.0,4105,1,2291,8507.0,4994,66880,0.0,341,548,0.0,23231,144,488,5.0,2,1,4.931740614334471,1576,597,2284,3477,9,17710,70,1.4712373105781962E-4,49988,74,0,3420
