SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,AvgRollbackRtt,RemoteUpdateTxPrepareServiceTime,RemoteContentionProbability,LocalUpdateTxPrepareResponseTime,AvgCommitAsync,LocalUpdateTxLocalServiceTime,AvgGetsPerWrTransaction,LocalUpdateTxLocalRollbackResponseTime,AvgNumSyncSentCommitMsgs,AvgCommitCommandSize,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,LocalReadOnlyTxPrepareResponseTime,AvgPutsPerWrTransaction,PercentageWriteTransactions,NumAbortedTxDueToValidation,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumWaitedRemoteGets,AvgLocalRemoteAbortLockHoldTime,AvgLocalSuccessfulLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgNumNodesRollback,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgRemoteGetsPerWrTransaction,AvgCommitRtt,NumReadsBeforeWrite,LocalUpdateTxLocalRollbackServiceTime,AvgLockHoldTime,RemoteGetServiceTime,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,GMUClusteredGetCommandResponseTime,WaitedTimeInLocalCommitQueue,RemotePutExecutionTime,AvgLocalLockHoldTime,AvgClusteredGetCommandReplySize,AvgNumNodesRemoteGet,NumOwnedRdItemsInRemotePrepare,AvgNumAsyncSentCommitMsgs,AvgGetsPerROTransaction,LocalUpdateTxTotalResponseTime,LocalUpdateTxTotalCpuTime,LocalUpdateTxLocalResponseTime,RemoteGetResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,LocalUpdateTxCommitServiceTime,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,PercentageSuccessWriteTransactions,WaitedTimeInRemoteCommitQueue,LocalUpdateTxRemoteRollbackResponseTime,LockContentionProbability,AvgRemoteLockHoldTime,ReadOnlyTxTotalResponseTime,NumAbortedXacts,RemoteUpdateTxCommitServiceTime,NumberOfRemotePuts,AvgNumPutsBySuccessfulLocalTx,AvgNumNodesCompleteNotification,AvgCompleteNotificationAsync,NumAbortedTxDueToNotLastValueAccessed,NumOwnedRdItemsInLocalPrepare,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,TerminationCost,RemotelyDeadXact,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareCommandSize,LocalUpdateTxCommitResponseTime,LocalUpdateTxRemoteRollbackServiceTime,AvgPrepareRtt,AvgNumNodesCommit,NumberOfGets,UpdateXactToPrepare,AvgRollbackCommandSize,WriteSkewProbability,LocalContentionProbability,GMUClusteredGetCommandServiceTime,AvgReadOnlyTxDuration,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,NumWaitedRemoteCommits,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,179991,0,7006,896,0,0,55289.340927455356,18485.114820296887,30.650243103011896,23415.80059263393,0.9121497536577721,2.7036471234782606E8,1,100000,UNIFORM,0,0,251,0.0,19672,1791,3187,10,0,0,162,186,1957.0,0,0,10.0,0.11338901543912934,0,1683,9,1055,0,3050,162,0,269,15298,0,7.068080357142857,0,10.0,0,3083,203,3.126840317100793,159,162.0,13054,1925,3050,216,3,3.1032842582106457,8,10,52610.0,4814.0,29607,2069,16687.0,1,450,521,0.0,0.11338901543912934,6992,0,0.0,90149,16157.0,0,106,6330,10.0,0,0,0,26.422991071428573,0,50,154892,0.0,7.064732142857143,1039,0,1821,5613,2967,0,18264,9,79020,896.0,0,0.0,0.0,112.0,16139,2.935267857142857,3,157,55343,513,6.995432486440194,0,0,0
1,179988,0,8129,1027,0,0,50162.713332035055,15699.15718661582,18.417758300567932,22396.326596884126,0.8876237932797175,2.5269905773913044E8,1,100000,UNIFORM,0,0,242,0.0,19225,1465,3624,10,0,0,162,186,2016.0,0,0,10.0,0.11216688510266493,0,1757,9,1122,0,2867,181,0,229,13224,0,6.994157740993184,0,10.0,0,2867,212,3.0543691561814614,121,119.0,14558,1689,2867,216,3,3.0661433683481474,8,10,47935.0,5459.0,25845,1776,17417.0,0,480,486,0.0,0.11216688510266493,8388,0,0.0,0,13884.0,0,92,7170,10.0,0,0,0,26.477117818889973,0,44,123987,0.0,6.981499513145082,1224,0,1556,5612,2586,0,17919,9,91560,1027.0,0,0.0,0.0,94.0,13871,3.0185004868549172,3,170,64366,509,7.03444458112929,0,0,0
2,179990,0,7505,893,0,0,54360.58887122061,17389.556634776814,22.371626101452726,23307.22901343785,0.9488213020798392,2.4427314852173913E8,1,100000,UNIFORM,0,0,263,0.0,19790,1744,3678,10,0,0,162,186,2051.0,0,0,10.0,0.10633484162895927,0,1779,9,1195,0,2986,146,0,262,14539,0,6.908174692049272,0,10.0,0,3010,215,3.0781444935919247,121,126.0,12689,1881,2986,216,3,3.107292729953499,8,10,51932.0,5566.0,28980,1973,14875.0,1,484,570,0.0,0.10633484162895927,8344,0,0.0,105878,15301.0,0,96,6200,10.0,0,0,0,28.425531914893618,0,45,170792,0.0,6.942889137737962,1263,0,1730,5613,2851,0,18203,9,83980,893.0,0,0.0,0.0,97.0,15283,3.057110862262038,3,152,58596,462,6.985609593604264,0,0,0
3,179988,0,8294,1015,0,0,49754.92652216749,15520.217739450205,26.72915092920829,22023.444375369458,0.9322472261626014,2.4581827895652175E8,1,100000,UNIFORM,0,0,248,0.0,19057,1506,3573,10,0,0,162,186,1966.0,0,0,10.0,0.10903426791277258,0,1707,9,796,0,2824,171,0,224,13023,0,6.948768472906404,0,10.0,0,2838,205,3.029533917858791,110,117.0,9978,1752,2824,216,3,3.0732579603137977,8,10,47635.0,5403.0,25910,1757,13880.0,0,470,479,0.0,0.10903426791277258,7832,0,0.0,129736,13679.0,0,90,6890,10.0,0,0,0,27.465024630541873,0,42,133180,0.0,6.788177339901478,1232,0,1553,5613,2322,0,17655,9,93090,1015.0,0,0.0,0.0,93.0,13668,3.2118226600985222,3,169,65212,468,7.012177477694719,0,0,0
4,179990,0,8012,994,0,1,52414.14400402415,15846.584093484773,22.105370711668705,22598.241562374245,0.9187612656470728,2.4561736417391303E8,1,100000,UNIFORM,0,0,249,0.0,19361,1595,3743,10,0,0,162,186,1994.0,0,0,10.0,0.11046963472854447,0,1731,9,1273,0,2744,202,10,220,13284,1466,7.079476861167002,0,10.0,0,2796,210,3.100748416810593,139,123.0,12718,1809,2755,217,3,3.0864709268854345,8,10,50211.0,5582.0,27895,1804,20524.0,0,479,515,0.0,0.1103708638685321,9579,2238,0.0,129482,13964.0,1,99,7240,10.0,0,0,0,27.345070422535212,0,41,150190,0.0,7.283702213279678,1227,0,1590,5613,2583,898,17877,9,90060,995.0,70,0.0,0.0,93.0,13946,2.7162977867203217,3,208,62879,533,6.9697953070394405,0,0,94262
5,180001,0,7896,1010,0,0,51988.588760396044,16040.731706560284,22.039241859420613,23117.286905940593,0.9269640409237375,2.5105356104347825E8,1,100000,UNIFORM,0,0,263,0.0,19843,1600,3701,10,0,0,162,186,2034.0,0,0,10.0,0.11340669211767349,0,1756,9,843,0,3115,137,0,221,13506,0,6.96039603960396,0,10.0,0,3130,210,3.0485414504784965,132,122.0,13182,1749,3115,216,3,3.073676928398478,8,10,49837.0,5618.0,27048,1818,17775.0,0,502,535,0.0,0.11340669211767349,7751,0,0.0,129076,14208.0,0,106,7260,10.0,0,0,0,26.432673267326734,0,32,134085,0.0,7.188118811881188,1271,0,1600,5612,2574,0,18290,9,89060,1010.0,0,0.0,0.0,95.0,14193,2.8118811881188117,3,143,62362,489,7.007598784194529,0,0,0
6,180008,0,8059,1030,0,0,50029.966205825236,15840.545936592629,21.786361315876334,21701.58869805825,0.9023036252722827,2.5619853E8,1,100000,UNIFORM,0,0,260,0.0,18484,1585,3511,10,0,0,162,186,1974.0,0,0,10.0,0.1133237979975795,0,1703,9,1196,0,2749,170,0,222,13343,0,6.927184466019417,0,10.0,0,2802,206,3.126447429365447,131,126.0,10956,1759,2749,217,3,3.117299675775822,8,10,47712.0,5366.0,26312,1812,14548.0,0,489,583,0.0,0.1133237979975795,7901,0,0.0,100470,14031.0,0,100,6860,10.0,0,0,0,26.622330097087378,0,52,132909,0.0,6.660194174757281,1235,0,1603,5612,2622,0,17016,9,90890,1030.0,0,0.0,0.0,94.0,14017,3.3398058252427183,3,176,63467,516,6.989949125201638,0,0,0
7,179990,0,7985,1030,0,0,50838.6608815534,15865.070493800877,23.194194675540768,21636.613118446603,0.9255150607905942,2.5905048452173913E8,1,100000,UNIFORM,0,0,255,0.0,18453,1504,3658,10,0,0,162,186,1982.0,0,0,10.0,0.11425402107598447,0,1725,9,1393,0,2912,140,0,218,13359,0,6.984466019417476,0,10.0,0,2934,208,3.116402728008323,125,123.0,15666,1770,2912,216,3,3.0869263668940006,8,10,48578.0,5507.0,27280,1806,22830.0,0,482,562,0.0,0.11425402107598447,9144,0,0.0,105477,14024.0,0,99,7430,10.0,0,0,0,26.339805825242717,0,38,143949,0.0,7.213592233009709,1234,0,1589,5613,2541,0,17045,9,90150,1030.0,0,0.0,0.0,95.0,14012,2.7864077669902914,3,136,63019,513,6.9912335629304945,0,0,0
8,179993,0,8048,995,0,0,50097.15021407035,16068.023531933399,22.13856474621254,21300.884460301506,0.9053655739636071,2.500062313043478E8,1,100000,UNIFORM,0,0,251,0.0,18471,1541,3692,10,0,0,162,186,1996.0,0,0,10.0,0.10993143109931432,0,1739,9,1361,0,2465,156,0,225,13548,0,7.096579476861167,0,10.0,0,2489,210,3.1242807825086305,108,127.0,8452,1742,2465,216,3,3.0745684695051785,8,10,48058.0,5479.0,27082,1830,20247.0,0,466,477,0.0,0.10993143109931432,9116,0,0.0,110153,14241.0,0,92,7100,10.0,0,0,0,27.271629778672033,0,36,139180,0.0,7.142857142857143,1197,0,1607,5613,2242,0,17117,9,90420,994.0,0,0.0,0.0,96.0,14228,2.857142857142857,3,162,63311,518,6.9901838966202785,0,0,0
9,180002,0,7794,961,0,1,52088.30884391259,16546.813277264562,20.10437859753312,22976.67722476587,0.9352604948377266,2.4581752313043478E8,1,100000,UNIFORM,0,0,272,0.0,19206,1528,3623,10,0,0,162,186,2045.0,0,0,10.0,0.1098675194152581,0,1777,9,1523,0,2972,102,10,243,13932,2628,6.930280957336108,0,10.0,0,2972,214,3.1445893388240678,122,120.0,20293,1796,2972,216,3,3.081102722489133,8,10,49685.0,5502.0,27035,1882,23246.0,0,483,539,0.0,0.10976584808680753,8713,7413,0.0,0,14626.0,1,97,6600,10.0,0,0,0,27.499479708636837,0,46,150872,0.0,6.867845993756504,1257,0,1649,5612,3065,1164,17652,9,87550,962.0,70,0.0,0.0,95.0,14610,3.1321540062434963,3,107,61120,521,6.987426225301514,0,0,0
