SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,AvgRollbackRtt,RemoteUpdateTxPrepareServiceTime,RemoteContentionProbability,LocalUpdateTxPrepareResponseTime,AvgCommitAsync,LocalUpdateTxLocalServiceTime,AvgGetsPerWrTransaction,LocalUpdateTxLocalRollbackResponseTime,AvgNumSyncSentCommitMsgs,AvgCommitCommandSize,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,LocalReadOnlyTxPrepareResponseTime,AvgPutsPerWrTransaction,PercentageWriteTransactions,NumAbortedTxDueToValidation,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumWaitedRemoteGets,AvgLocalRemoteAbortLockHoldTime,AvgLocalSuccessfulLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgNumNodesRollback,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgRemoteGetsPerWrTransaction,AvgCommitRtt,NumReadsBeforeWrite,LocalUpdateTxLocalRollbackServiceTime,AvgLockHoldTime,RemoteGetServiceTime,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,GMUClusteredGetCommandResponseTime,WaitedTimeInLocalCommitQueue,RemotePutExecutionTime,AvgLocalLockHoldTime,AvgClusteredGetCommandReplySize,AvgNumNodesRemoteGet,NumOwnedRdItemsInRemotePrepare,AvgNumAsyncSentCommitMsgs,AvgGetsPerROTransaction,LocalUpdateTxTotalResponseTime,LocalUpdateTxTotalCpuTime,LocalUpdateTxLocalResponseTime,RemoteGetResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,LocalUpdateTxCommitServiceTime,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,PercentageSuccessWriteTransactions,WaitedTimeInRemoteCommitQueue,LocalUpdateTxRemoteRollbackResponseTime,LockContentionProbability,AvgRemoteLockHoldTime,ReadOnlyTxTotalResponseTime,NumAbortedXacts,RemoteUpdateTxCommitServiceTime,NumberOfRemotePuts,AvgNumPutsBySuccessfulLocalTx,AvgNumNodesCompleteNotification,AvgCompleteNotificationAsync,NumAbortedTxDueToNotLastValueAccessed,NumOwnedRdItemsInLocalPrepare,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,TerminationCost,RemotelyDeadXact,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareCommandSize,LocalUpdateTxCommitResponseTime,LocalUpdateTxRemoteRollbackServiceTime,AvgPrepareRtt,AvgNumNodesCommit,NumberOfGets,UpdateXactToPrepare,AvgRollbackCommandSize,WriteSkewProbability,LocalContentionProbability,GMUClusteredGetCommandServiceTime,AvgReadOnlyTxDuration,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,NumWaitedRemoteCommits,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180208,0,188,66,2,139,498211.1186969697,409512.8074042553,38.00701772151899,60644.60016666666,0.6731946137483784,7.322303712E7,1,1000,UNIFORM,0,0,378,0.0,48963,10348,39151,100,1569,0,642,675,39850.0,0,0,10.0,0.5240506329113924,0,39073,48,0,3700,18992,147,47,187,406006,10124,98.46969696969697,0,100.0,781,46036,358,0.14704459707845602,185,119.0,0,3579,32909,1593,1,1.8264318885448916,47,100,495390.0,47143.0,434992,4037,0.0,121,2623,845,0.0,0.25984251968503935,0,11099,0.0,46534,407491.0,141,164,660,10.0,0,0,0,5.075757575757576,3,0,107153,0.0,10.0,5160,0,3742,6520,10916,2640,43223,48,25400,205.0,70,0.0,9.737098344693282E-4,103.0,407479,0.0,1,129,25049,0,98.67021276595744,0,0,59415
1,180134,0,186,60,2,152,500427.04955,390426.3435483871,53.0822575,60737.57531666667,0.6449195504390388,6.764810176E7,1,1000,UNIFORM,0,0,379,0.0,50703,8473,43813,100,4933,0,642,674,38631.0,0,0,10.0,0.535,3,37898,48,0,10266,22520,145,46,179,386999,8306,98.3,0,100.0,1144,47059,364,0.15902196893096793,199,126.0,0,3660,39071,1656,1,1.9671844838680026,47,100,498430.0,51788.0,437972,3964,0.0,168,1962,851,0.0,0.24390243902439024,0,9092,0.0,47322,388070.0,154,166,590,10.0,0,0,0,4.7,5,0,197327,0.0,9.833333333333334,5796,0,3679,6518,9195,1860,43649,48,24600,212.0,70,0.0,9.416195856873823E-4,106.0,388060,0.16666666666666666,1,128,24307,0,98.97311827956989,0,0,61303
2,180108,0,170,71,0,130,544504.0694929577,416916.8398588235,22.675849056603774,67865.28188732394,0.6931749931718153,6.435591456E7,1,1000,UNIFORM,0,0,375,0.0,56438,10228,45592,100,4325,0,642,674,39535.0,0,0,10.0,0.5417789757412399,2,38738,48,0,4480,22775,160,48,176,413209,8831,98.21126760563381,0,100.0,1307,42675,371,0.1706546275395034,185,125.0,0,4010,36467,1673,1,2.0356691349106013,47,100,541554.0,53550.0,473965,4259,0.0,216,1982,937,0.0,0.2946058091286307,29041,9299,0.0,42885,414740.0,130,158,700,10.0,0,0,0,4.887323943661972,0,0,106735,0.0,9.859154929577464,5753,0,3964,6518,10746,1870,50221,48,24100,201.0,70,0.0,0.0,104.0,414727,0.14084507042253522,1,122,23731,1,98.5764705882353,0,0,59416
3,180322,0,171,48,3,153,519655.8206041667,424097.9564444444,29.446165333333333,69320.84070833333,0.6934022513261673,7.635009312E7,1,1000,UNIFORM,0,0,380,0.0,56229,9388,43797,100,2002,0,642,674,40674.0,0,0,10.0,0.544,1,39909,47,0,5257,16737,152,47,209,419460,8443,98.60416666666667,0,100.0,645,46124,377,0.15089034676663543,214,126.0,13398,3723,35050,1645,1,1.8766635426429241,47,100,517172.0,51363.0,448099,4241,0.0,155,1804,926,0.0,0.2191780821917808,89747,9272,0.0,46544,421836.0,156,162,470,10.0,0,0,0,6.25,2,1,380024,0.0,9.791666666666666,5549,0,3921,6516,12142,1878,49104,47,21900,201.0,70,0.0,9.886307464162135E-4,109.0,421811,0.20833333333333334,1,124,21592,1,98.5906432748538,0,0,58535
4,180295,0,164,51,1,131,544484.5656666666,449734.7422317073,55.13330259365994,64623.23711764706,0.7292234344714565,8.132452224E7,1,1000,UNIFORM,0,0,379,0.0,52043,11169,42239,100,3282,0,642,674,41242.0,0,0,10.0,0.5273775216138329,1,40408,48,0,12651,12006,171,47,220,445234,14129,98.37254901960785,0,100.0,738,39778,387,0.1603942652329749,203,137.0,0,4183,33922,1593,1,2.032078853046595,47,100,541927.0,50903.0,477610,4578,0.0,222,2631,1091,0.0,0.2372093023255814,4857,15089,0.0,40010,446840.0,132,160,500,10.0,0,0,0,8.392156862745098,2,0,171955,0.0,9.803921568627452,5809,0,4246,6518,11872,2812,42668,48,21500,182.0,70,0.0,0.0,104.0,446805,0.19607843137254902,1,120,21049,1,97.7560975609756,0,0,77244
5,180109,0,182,53,2,126,497516.4383962264,448222.4280714286,36.42412396694215,61106.34266037736,0.7039843561151494,8.877315264E7,1,1000,UNIFORM,0,0,380,0.0,50340,9086,36558,100,7282,0,642,675,40444.0,0,0,10.0,0.4986225895316804,3,39647,48,0,18964,13250,161,45,224,444066,13609,97.69811320754717,0,100.0,1237,43891,368,0.1875878026609371,245,130.0,0,4136,33637,1596,1,2.4778797651533946,47,100,494969.0,44277.0,434423,4423,0.0,236,2453,1136,0.0,0.225531914893617,9302,14883,0.0,44269,445811.0,128,158,520,10.0,0,0,0,10.0,5,0,222162,0.0,9.81132075471698,5054,0,4100,6520,9811,2824,44738,48,23500,179.0,70,0.0,0.0011148272017837235,98.0,445797,0.18867924528301888,1,116,22940,3,97.5934065934066,0,0,76758
6,180182,0,170,44,2,144,519027.7881363636,438909.57867058826,12.447988888888888,63349.1236590909,0.683542641965026,7.20534752E7,1,1000,UNIFORM,0,0,369,0.0,52614,9438,41518,100,3780,0,642,674,41793.0,0,0,10.0,0.5277777777777778,4,40998,48,0,7078,15433,147,47,199,434936,8653,98.27272727272727,0,100.0,952,37967,386,0.15587846763540292,183,125.0,0,4179,38328,1588,1,2.0956659619450315,47,100,516291.0,48766.0,453403,4422,0.0,181,1724,981,0.0,0.205607476635514,7946,9392,0.0,37964,436532.0,146,154,440,10.0,0,0,0,7.431818181818182,1,0,161841,0.0,10.0,5313,0,4104,6518,9828,1965,45335,48,21400,188.0,70,0.0,0.0,102.0,436519,0.0,1,118,21057,1,98.42941176470588,0,0,67988
7,180021,0,207,48,0,124,507819.0036041667,419399.3886425121,14.099052770448548,59466.53975,0.6475141049652055,5.4524025666666664E7,1,1000,UNIFORM,0,0,385,0.0,50122,7595,41440,100,1957,0,642,675,39837.0,0,0,10.0,0.45382585751978893,1,39063,47,0,6152,9252,161,46,216,415879,8877,98.70833333333333,0,100.0,687,43836,380,0.1256306261746958,198,132.0,0,3961,25021,1566,1,1.7575427836581263,46,100,504096.0,48470.0,445108,4253,0.0,103,1630,917,0.0,0.18823529411764706,21189,9904,0.0,44616,417091.0,124,164,480,10.0,0,0,0,7.854166666666667,3,0,161660,0.0,10.0,5191,0,3946,6518,8402,2003,44804,47,25500,172.0,70,0.0,5.813953488372093E-4,107.0,417074,0.0,1,129,25108,1,98.40579710144928,0,0,65571
8,180116,0,202,64,2,132,488401.322515625,398789.09315841587,35.731045,58382.7139375,0.6130059691751926,5.383135328E7,1,1000,UNIFORM,0,0,416,0.0,45559,11161,42226,100,4688,0,642,675,41517.0,0,0,10.0,0.495,0,40628,48,0,12858,8442,165,47,188,395676,9822,99.125,0,100.0,1207,40831,377,0.10263335584064821,207,118.0,0,3750,18530,1441,1,1.3732270701067135,47,100,485948.0,50279.0,428024,4007,0.0,80,2429,842,0.0,0.24060150375939848,0,10471,0.0,42462,397045.0,134,176,610,10.0,0,0,0,6.671875,1,0,179450,0.0,9.53125,5412,0,3724,6519,11847,2516,39311,48,26600,196.0,70,0.0,5.091649694501018E-4,106.0,397029,0.46875,1,143,26149,0,98.04455445544555,0,0,62095
9,180272,0,188,57,0,131,554883.0134035088,426572.3544361702,18.52872606382979,70548.73135087719,0.7006326032994079,6.438280608E7,1,1000,UNIFORM,0,0,382,0.0,56376,11542,48778,100,5863,0,642,675,42812.0,0,0,10.0,0.5,3,42069,48,0,5721,27246,162,47,217,421395,8128,98.42105263157895,0,100.0,1391,45782,391,0.16872994039431455,219,133.0,0,3888,41484,1704,1,1.9434204493351674,47,100,551343.0,57161.0,481263,4239,0.0,171,2186,911,0.0,0.23265306122448978,9802,8724,0.0,45900,424146.0,131,165,570,10.0,0,0,0,3.824561403508772,0,0,175138,0.0,10.0,5973,0,3927,6515,12299,1835,49548,48,24500,188.0,70,0.0,0.0,117.0,424136,0.0,1,127,24268,1,99.24468085106383,0,0,58685
10,180269,0,168,43,1,129,574051.4507906977,481363.5260059524,29.023991202346043,74975.73446511627,0.7683829474073367,7.85109616E7,1,1000,UNIFORM,0,0,375,0.0,60315,12797,43357,100,12954,0,642,675,42609.0,0,0,10.0,0.5073313782991202,2,41737,48,0,16403,17194,179,47,244,475526,10060,97.20930232558139,0,100.0,1291,45684,376,0.18677561911114818,235,130.0,0,4333,34662,1508,1,2.4192310899841547,47,100,571134.0,51240.0,496614,4729,0.0,226,1876,1285,0.0,0.2037914691943128,18165,10612,0.0,46138,477748.0,130,156,420,10.0,0,0,0,12.790697674418604,0,0,220759,0.0,9.767441860465116,5765,0,4381,6518,13600,1738,49561,48,21100,172.0,70,0.0,0.0,95.0,477729,0.23255813953488372,1,115,20520,2,97.26190476190476,0,0,67392
11,180281,0,171,54,2,145,511131.2802777778,448565.07342690055,22.92213172043011,57748.43175925926,0.7004540874577667,6.420248672E7,1,1000,UNIFORM,0,0,371,0.0,45439,11193,40932,100,5859,0,642,674,43850.0,0,0,10.0,0.5403225806451613,3,43046,48,0,10662,20535,157,46,202,443383,10470,97.92592592592592,0,100.0,1587,46342,375,0.1601423487544484,236,131.0,0,3888,38005,1652,1,2.098843416370107,47,100,507816.0,49205.0,450278,4296,0.0,196,2575,911,0.0,0.24,6337,11438,0.0,46627,445654.0,147,160,500,10.0,0,0,0,5.87037037037037,2,0,136011,0.0,9.25925925925926,5482,0,3990,6519,11798,2534,38713,48,22500,199.0,70,0.0,5.002501250625312E-4,105.0,445643,0.7407407407407407,1,122,22169,1,98.71929824561404,0,0,61175
12,180406,0,185,56,2,137,504890.0324464286,436496.7153783784,28.27163421052632,66584.27289285715,0.6712173771836664,7.183852352E7,1,1000,UNIFORM,0,0,391,0.0,54415,10562,41435,100,4842,0,642,675,42808.0,0,0,10.0,0.5131578947368421,3,41974,47,0,9143,14564,159,46,190,433068,7375,98.51785714285714,0,100.0,915,46177,374,0.13034033309196236,190,117.0,0,3820,25863,1536,1,1.6950449984483293,46,100,502302.0,49015.0,436114,4234,0.0,121,1788,877,0.0,0.23236514522821577,0,7938,0.0,47122,434504.0,139,163,550,10.0,0,0,0,7.0,2,0,217384,0.0,9.821428571428571,5549,0,3936,6518,11052,1694,46576,47,24100,193.0,70,0.0,5.17063081695967E-4,100.0,434492,0.17857142857142858,1,130,23687,0,98.21621621621621,0,0,57001
13,180291,0,167,57,0,141,528968.1252982456,434359.76316766464,33.09836712328767,59787.31238596491,0.7002717719385312,7.159340416E7,1,1000,UNIFORM,0,0,364,0.0,50215,8404,43195,100,4192,0,642,674,41117.0,0,0,10.0,0.5424657534246575,1,40374,48,0,16815,17791,149,47,203,430296,9335,98.29824561403508,0,100.0,945,46301,377,0.17218425490370107,200,133.0,0,3941,39872,1643,1,2.107767421216156,47,100,524819.0,50626.0,465309,4351,0.0,171,1804,962,0.0,0.2544642857142857,0,10058,0.0,46517,431840.0,141,157,570,10.0,0,0,0,5.807017543859649,1,0,154107,0.0,10.0,5420,0,4029,6520,8923,1896,43644,48,22400,198.0,70,0.0,0.0,105.0,431829,0.0,1,119,22054,0,98.50898203592814,0,0,67944
