SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,AvgRollbackRtt,RemoteUpdateTxPrepareServiceTime,RemoteContentionProbability,LocalUpdateTxPrepareResponseTime,AvgCommitAsync,LocalUpdateTxLocalServiceTime,AvgGetsPerWrTransaction,LocalUpdateTxLocalRollbackResponseTime,AvgNumSyncSentCommitMsgs,AvgCommitCommandSize,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,LocalReadOnlyTxPrepareResponseTime,AvgPutsPerWrTransaction,PercentageWriteTransactions,NumAbortedTxDueToValidation,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumWaitedRemoteGets,AvgLocalRemoteAbortLockHoldTime,AvgLocalSuccessfulLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgNumNodesRollback,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgRemoteGetsPerWrTransaction,AvgCommitRtt,NumReadsBeforeWrite,LocalUpdateTxLocalRollbackServiceTime,AvgLockHoldTime,RemoteGetServiceTime,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,GMUClusteredGetCommandResponseTime,WaitedTimeInLocalCommitQueue,RemotePutExecutionTime,AvgLocalLockHoldTime,AvgClusteredGetCommandReplySize,AvgNumNodesRemoteGet,NumOwnedRdItemsInRemotePrepare,AvgNumAsyncSentCommitMsgs,AvgGetsPerROTransaction,LocalUpdateTxTotalResponseTime,LocalUpdateTxTotalCpuTime,LocalUpdateTxLocalResponseTime,RemoteGetResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,LocalUpdateTxCommitServiceTime,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,PercentageSuccessWriteTransactions,WaitedTimeInRemoteCommitQueue,LocalUpdateTxRemoteRollbackResponseTime,LockContentionProbability,AvgRemoteLockHoldTime,ReadOnlyTxTotalResponseTime,NumAbortedXacts,RemoteUpdateTxCommitServiceTime,NumberOfRemotePuts,AvgNumPutsBySuccessfulLocalTx,AvgNumNodesCompleteNotification,AvgCompleteNotificationAsync,NumAbortedTxDueToNotLastValueAccessed,NumOwnedRdItemsInLocalPrepare,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,TerminationCost,RemotelyDeadXact,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareCommandSize,LocalUpdateTxCommitResponseTime,LocalUpdateTxRemoteRollbackServiceTime,AvgPrepareRtt,AvgNumNodesCommit,NumberOfGets,UpdateXactToPrepare,AvgRollbackCommandSize,WriteSkewProbability,LocalContentionProbability,GMUClusteredGetCommandServiceTime,AvgReadOnlyTxDuration,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,NumWaitedRemoteCommits,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180124,0,438,444,0,214,169722.73692792794,156300.55306621004,22.05903923357664,13053.281957207206,0.5779167639165684,6.805987936E7,1,1000,UNIFORM,0,0,408,0.0,10485,1498,15929,100,3348,0,162,186,16222.0,0,0,10.0,0.6003649635036497,25,15367,10,0,15944,6308,124,9,62,153046,1750,90.59234234234235,0,100.0,621,9833,154,0.9893507385778083,178,49.0,0,56,7782,477,1,8.969769838543456,9,100,167475.0,18529.0,154652,1674,0.0,224,626,606,0.0,0.5034013605442177,1964,1936,0.0,11275,154597.0,214,154,4080,10.0,0,0,0,19.335585585585587,3,0,204902,186.0,9.18918918918919,1774,0,1598,6084,1918,636,8928,10,88200,658.0,70,0.0,3.0395136778115504E-4,49.0,154576,0.8108108108108109,1,115,79182,2,88.94748858447488,0,0,2900
1,180135,0,468,491,0,206,159275.14646639512,146331.8712307692,15.112378540772532,11922.426386965377,0.5489335913959905,7.50450064E7,1,1000,UNIFORM,0,0,421,0.0,9734,1331,15719,100,2109,0,162,186,15790.0,0,0,10.0,0.5982832618025751,17,15005,10,0,15194,6082,134,10,60,143289,1383,91.30957230142566,0,100.0,645,9973,150,0.8587257617728532,168,50.0,0,65,7502,488,1,8.524065096952908,9,100,157414.0,18226.0,145698,1550,0.0,181,578,617,0.0,0.5119916579770595,0,1682,0.0,11662,144649.0,206,135,4670,10.0,0,0,0,15.873727087576375,0,0,151823,189.0,9.511201629327902,1746,0,1477,6085,1666,586,8318,10,95900,697.0,70,0.0,0.0,48.0,144639,0.48879837067209775,1,103,87742,0,91.68589743589743,0,0,2709
2,180067,0,419,437,0,213,172174.97896109842,160344.5013579952,20.05267165575304,13891.718130434783,0.5342162273827277,8.358658688E7,1,1000,UNIFORM,0,0,437,0.0,11218,1631,16441,100,1985,0,162,186,17285.0,0,0,10.0,0.608044901777362,21,16455,10,0,16402,7361,164,9,69,157180,1562,89.99771167048056,0,100.0,610,10238,161,0.9246282686720219,157,58.0,0,63,8923,492,1,9.452136752136752,9,100,170313.0,19229.0,156655,1700,0.0,195,660,667,0.0,0.5105140186915887,3360,1903,0.0,11053,158509.0,213,149,4030,10.0,0,0,0,17.471395881006863,5,0,181536,186.0,9.221967963386728,1915,0,1616,6085,2097,676,9379,10,85600,650.0,70,0.0,1.5384615384615385E-4,53.0,158494,0.7780320366132724,1,114,77603,2,91.34606205250597,0,0,2880
3,180119,0,455,479,0,212,163010.15710855948,145606.9076901099,19.29710820244328,12855.5918434238,0.5304230889936756,9.529557056E7,1,1000,UNIFORM,0,0,411,0.0,10435,1537,15945,100,2172,0,162,186,16048.0,0,0,10.0,0.6029668411867365,23,15256,10,0,15581,6486,132,9,61,142597,1423,89.44885177453027,0,100.0,640,9870,155,1.0714285714285714,176,52.0,0,57,7849,494,1,9.953016643550624,9,100,161037.0,18525.0,148389,1602,0.0,217,608,657,0.0,0.512847965738758,3708,1755,0.0,11247,143888.0,212,137,4360,10.0,0,0,0,19.390396659707726,4,0,172270,185.0,9.102296450939457,1782,0,1523,6084,1920,619,8880,10,93400,691.0,70,0.0,2.894356005788712E-4,48.0,143879,0.8977035490605428,1,100,83667,7,89.71648351648352,0,0,2923
4,180110,0,439,495,0,208,158459.97475353535,151137.1952072893,12.743013134851138,12937.825795959596,0.6718810116465999,6.779311744E7,1,1000,UNIFORM,0,0,405,0.0,10802,1237,15430,100,1741,0,162,186,16810.0,0,0,10.0,0.6155866900175131,15,15999,10,0,15074,6409,129,10,60,147830,1224,90.48282828282828,0,100.0,612,9741,155,0.9172724125995154,167,50.0,0,59,7727,477,1,8.924195223260643,9,100,156637.0,17905.0,143907,1597,0.0,160,577,644,0.0,0.5299785867237687,2206,1559,0.0,11204,149240.0,208,130,4560,10.0,0,0,0,18.125252525252524,0,0,180438,193.0,9.212121212121213,1713,0,1527,6084,1608,602,9198,10,93400,703.0,70,0.0,0.0,47.0,149231,0.7878787878787878,1,98,83963,2,89.23462414578587,0,0,2137
5,179992,0,487,464,0,195,157970.60316379313,151116.24117453798,13.692760034904014,12512.587950431034,0.5768244809547243,7.96076963478261E7,1,1000,UNIFORM,0,0,424,0.0,10391,1212,14856,100,1870,0,162,186,15991.0,0,0,10.0,0.575043630017452,21,15215,10,0,15246,6134,159,9,60,148246,1353,88.43103448275862,0,100.0,635,9728,151,1.080567081604426,154,51.0,0,58,7443,505,1,10.766943291839558,9,100,156166.0,17323.0,143883,1623,0.0,204,583,701,0.0,0.4879074658254469,4025,1688,0.0,11256,149438.0,195,133,4070,10.0,0,0,0,21.760775862068964,1,0,161874,173.0,8.77155172413793,1701,0,1548,6085,1624,597,8988,10,95100,659.0,70,0.0,0.0,47.0,149429,1.228448275862069,1,96,84473,3,89.20123203285421,0,0,2817
6,180122,0,435,471,0,220,166939.26947346074,151001.60073793103,18.552541740674954,14100.979598726115,0.5673156888527618,1.0044312224E8,1,1000,UNIFORM,0,0,422,0.0,11801,1302,16182,100,1666,0,162,186,16214.0,0,0,10.0,0.6136767317939609,21,15424,10,0,15558,7097,115,9,62,148164,1401,89.2144373673036,0,100.0,560,10238,156,1.1060711793440334,155,52.0,0,63,8426,487,1,10.24546406140963,9,100,165263.0,18738.0,151403,1633,0.0,235,600,650,0.0,0.5198675496688742,7423,1794,0.0,11468,149512.0,220,136,4140,10.0,0,0,0,19.687898089171973,2,0,177794,197.0,8.789808917197453,1771,0,1555,6085,1711,599,9941,10,90600,691.0,70,0.0,0.0,49.0,149499,1.2101910828025477,1,100,80877,5,89.32643678160919,0,0,2170
7,180073,0,454,500,0,203,158813.731702,146554.8201938326,21.5451797752809,12747.032949999999,0.544475101683814,9.61688144E7,1,1000,UNIFORM,0,0,409,0.0,10330,1358,15866,100,1895,0,162,186,16345.0,0,0,10.0,0.6076058772687987,20,15555,10,0,15798,6472,99,9,65,143511,1402,89.786,0,100.0,559,9849,157,0.9865783510545582,174,51.0,1586,56,7749,484,1,9.66352859135286,9,100,156927.0,18382.0,144486,1582,0.0,213,580,655,0.0,0.5241090146750524,2726,1728,0.0,11334,144767.0,203,132,4460,10.0,0,0,0,19.018,5,1,160362,178.0,8.92,1754,0,1507,6085,1758,604,8756,10,95400,703.0,70,0.0,2.844950213371266E-4,48.0,144749,1.08,1,93,85451,2,89.33480176211454,0,0,2792
8,180148,0,478,473,0,188,157922.1413128964,153319.4990125523,16.956739244951713,13098.787661733617,0.5543138279019533,8.553519264E7,1,1000,UNIFORM,0,0,398,0.0,10880,1350,15262,100,2740,0,162,186,16829.0,0,0,10.0,0.5803336259877085,15,16048,10,0,16589,6505,109,9,58,150316,1682,89.59408033826638,0,100.0,606,10101,156,0.9882718178682304,180,51.0,0,60,7912,488,1,9.733183856502242,9,100,156138.0,17726.0,143259,1609,0.0,193,578,580,0.0,0.49737118822292326,7370,2080,0.0,11559,151714.0,188,136,4290,10.0,0,0,0,19.380549682875266,4,0,149410,168.0,9.069767441860465,1707,0,1532,6084,1689,594,9345,10,95100,661.0,70,0.0,4.53857791225416E-4,48.0,151702,0.9302325581395349,1,98,85485,3,90.18200836820084,0,0,3205
9,179993,0,422,453,0,244,160968.28193156736,156746.86645734595,12.478815907059873,12768.35964459161,0.6986862758858428,7.533548139130434E7,1,1000,UNIFORM,0,0,403,0.0,10562,1285,15687,100,1595,0,162,186,17234.0,0,0,10.0,0.6228775692582663,30,16456,10,0,14629,6960,146,9,65,153441,1226,90.6710816777042,0,100.0,568,10388,156,1.000870322019147,178,55.0,0,59,8264,499,1,8.702349869451696,9,100,159377.0,18157.0,146840,1616,0.0,225,566,606,0.0,0.5177142857142857,551,1538,0.0,11783,154927.0,244,135,4070,10.0,0,0,0,16.143487858719645,4,0,136111,210.0,8.984547461368653,1718,0,1545,6085,1667,574,8876,10,87500,697.0,70,0.0,5.738880918220947E-4,50.0,154918,1.0154525386313467,1,98,79811,1,91.79383886255924,0,0,2018
