SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,AvgNumNodesPrepare,LocalReadOnlyTxLocalServiceTime,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,NumLocalRemoteLockContentions,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumRemoteLocalLockContentions,NumLocalLocalLockContentions,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,NumRemoteRemoteLockContentions,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,179988,0,1298,1334,0,498,64532.092263868064,44895.934786594764,38.10653514376997,20466.51148575712,0.7293353971679996,6.568191686956522E7,1,1000,UNIFORM,0,245,2125,17458,10,0,581,4367.0,0,10.0,9,4090,2,10580,24199,122,269,42715,1735,0,376,16693,175.0,12606,2,9,1.0591186876809264,62626.0,10,589,2163,16418,0.506838905775076,0.0,43201.0,13150,0,0,0,0.27511244377811095,64965,0.0,493.0,0,3939,15918,1832.0,0.0,142.0,0,0,0.1424287856071964,1,108,25950,9.872881355932204,0,0,0.0,4396,1072,562,0,0.5853035143769968,0,9,2,9.846326836581708,438,10.0,0.9861691862335156,178,0,5.0,39,1,1595,6778.0,4271,42451,0.0,234,571,0.0,17131,151,498,10.0,3,0,9.857571214392804,1655,576,2476,6058,9,26320,70,1.091703056768559E-4,43186,63,0,1736
1,180060,0,1369,1447,0,512,61788.48210642709,41298.12409495983,22.768995192307692,19439.726643400136,0.7353365191306516,6.958803766666667E7,1,1000,UNIFORM,0,235,1935,16676,10,0,581,4141.0,0,10.0,9,3887,4,12507,19797,105,212,39385,1635,0,356,17218,155.0,13541,2,9,1.0714942528735631,60043.0,10,557,1906,12137,0.5138494318181818,0.0,39796.0,14220,0,0,0,0.26675881133379403,64941,0.0,503.0,0,3688,15138,1959.0,0.0,136.0,0,0,0.17277125086385625,1,98,27771,9.907962016070124,0,0,0.0,4195,1319,562,0,0.5886418269230769,0,9,2,9.818244644091223,406,10.0,0.9908045977011494,156,0,9.0,43,1,1690,6499.0,4004,40896,0.0,255,521,0.0,17583,137,512,10.0,5,0,9.827228749136143,1612,566,2238,6058,9,28160,70,1.0209290454313425E-4,39784,79,0,1734
2,180056,0,1388,1387,0,536,61858.85259048305,41801.88709221902,14.74073059498641,19688.496682047582,0.6565080827881968,6.7301306E7,1,1000,UNIFORM,0,264,1882,16979,10,0,581,4309.0,0,10.0,9,4018,1,7106,19350,132,175,39878,1584,0,366,16347,155.0,8378,2,9,1.0484863008227494,60266.0,10,594,1882,10779,0.4998198198198198,0.0,40325.0,13690,0,0,0,0.3028118240807498,63750,0.0,531.0,0,3739,15559,1923.0,0.0,140.0,0,0,0.12977649603460706,1,115,27330,9.81628242074928,0,0,0.0,4344,466,562,0,0.5807913017215343,0,9,2,9.881038211968276,315,10.0,0.9936895918204329,178,0,5.0,39,1,1505,6754.0,4041,40847,0.0,176,537,0.0,17474,156,536,10.0,4,0,9.870223503965393,1679,563,2200,6058,9,27750,70,1.0400416016640666E-4,40317,34,0,1313
3,180027,0,1287,1286,0,508,66366.94850699844,45011.95528671329,34.3946335605323,21043.863793157074,0.7378919310803894,6.8361264E7,1,1000,UNIFORM,0,234,2204,17921,10,0,581,4305.0,0,10.0,9,4036,4,9960,20853,122,217,43000,2070,0,372,17164,163.0,11297,3,9,1.0692403783237165,64563.0,10,633,2408,13602,0.4998056743101438,0.0,43441.0,12670,0,0,0,0.31804043545878696,63066,0.0,501.0,0,4027,16385,1794.0,0.0,139.0,0,0,0.14774494556765164,1,106,25321,9.84071484071484,0,0,0.0,4415,1472,562,0,0.5822784810126582,0,9,3,9.841368584758943,503,10.0,1.0076735470822675,166,0,7.0,43,1,1609,6840.0,4369,43846,0.0,246,582,0.0,17761,143,508,10.0,3,0,9.852255054432348,1654,626,2535,6058,9,25730,70,1.6722408026755852E-4,43434,67,0,2320
4,180004,0,1250,1314,0,472,67006.48750152208,46035.6220136,22.783557641633728,20477.628363774736,0.7633287065388776,6.567358782608695E7,1,1000,UNIFORM,0,224,2052,17530,10,0,581,4373.0,0,10.0,9,4103,4,8740,23527,126,166,43968,1931,0,370,16449,159.0,10714,1,9,1.075638506876228,64978.0,10,578,2260,12246,0.5124804992199687,0.0,44437.0,12950,0,0,0,0.3797564687975647,69918,0.0,465.0,0,4115,15928,1786.0,0.0,135.0,0,0,0.1445966514459665,1,102,25138,9.7912,0,0,0.0,4383,2578,562,0,0.5882740447957839,0,9,1,9.816590563165907,422,10.0,1.0090591573892163,166,12041,7.0,52,1,1549,6755.0,4459,44797,0.0,273,572,0.0,17128,136,472,10.0,3,1,9.855403348554033,1658,565,2419,6058,9,25640,70,5.5991041433370664E-5,44426,91,0,3991
5,179999,0,1171,1310,0,492,68680.70916259542,46317.97413151153,19.22042415068954,21352.451752671757,0.8077630785059003,8.045086782608695E7,1,1000,UNIFORM,0,199,2602,17755,10,0,581,4021.0,0,10.0,9,3774,2,10496,22311,111,270,44074,2197,0,350,16624,152.0,12283,5,9,1.1045876117919842,66499.0,10,611,2567,12791,0.52801289802499,0.0,44508.0,12840,0,0,0,0.41450381679389314,67899,0.0,483.0,0,4137,16103,1802.0,0.0,125.0,0,0,0.1984732824427481,1,90,24263,9.77198975234842,0,0,0.0,4195,1300,562,0,0.6061217625294315,0,9,5,9.786259541984732,406,10.0,0.9912222590261676,137,7166,9.0,53,1,1605,6518.0,4486,45471,0.0,348,594,0.0,17047,116,492,10.0,7,3,9.801526717557252,1579,624,2985,6058,9,24810,70,2.774694783573807E-4,44493,167,0,1164
6,180009,0,1336,1379,0,526,63065.64422697607,42646.87119011976,19.11083400185128,20423.32851849166,0.7472628999181737,8.380115733333333E7,1,1000,UNIFORM,0,215,2123,17461,10,0,581,3940.0,0,10.0,9,3690,3,9856,21496,111,188,40641,1809,0,341,16385,161.0,11447,3,9,1.0820741047402194,61278.0,10,628,2262,14057,0.5079189686924493,0.0,41068.0,13590,0,0,0,0.34445250181290793,66823,0.0,515.0,0,3806,15909,1905.0,0.0,129.0,0,0,0.145032632342277,1,95,26674,9.83682634730539,0,0,0.0,4117,846,562,0,0.5877815489046591,0,9,3,9.812907904278463,356,10.0,1.037052370109708,162,10125,11.0,44,1,1635,6513.0,4114,41130,0.0,283,536,0.0,16901,129,526,10.0,8,2,9.854967367657723,1635,606,2445,6058,9,27150,70,1.5748031496062991E-4,41059,99,0,2041
7,179992,0,1418,1460,0,511,60857.598778767126,40354.83457122708,17.701183239893773,18797.247156849313,0.6565907396032039,6.334244730434783E7,1,1000,UNIFORM,0,255,1886,16096,10,0,581,4081.0,0,10.0,9,3802,3,8868,19125,122,213,38514,1710,0,353,16883,156.0,10359,1,9,1.0573243960340735,59115.0,10,624,2063,9626,0.5072967338429465,0.0,38930.0,14450,0,0,0,0.2815068493150685,54324,0.0,504.0,0,3654,14675,1971.0,0.0,138.0,0,0,0.10273972602739725,1,110,28367,9.847672778561353,0,0,0.0,4256,2600,562,0,0.5815874889347891,0,9,1,9.865068493150686,431,10.0,1.0201089233347298,180,13708,7.0,40,1,1555,6692.0,3957,40583,0.0,162,552,0.0,17733,152,511,10.0,4,2,9.897260273972602,1677,615,2225,6058,9,28780,70,5.073566717402334E-5,38921,54,0,6656
8,179990,0,1410,1539,0,538,58443.64854775828,39533.06035460993,20.932991109836536,18999.151519168292,0.7012282611620086,6.84451923478261E7,1,1000,UNIFORM,0,257,2004,16174,10,0,581,3744.0,0,10.0,9,3445,1,6577,19787,119,159,37670,1722,0,319,15561,139.0,7713,4,9,1.049348758191085,56825.0,10,602,1972,15663,0.5218718209562564,0.0,38102.0,15210,0,0,0,0.3586744639376218,68507,0.0,533.0,0,3547,14784,2077.0,0.0,125.0,0,0,0.11695906432748537,1,104,28932,9.745390070921985,0,0,0.0,3901,1048,562,0,0.5956409521078291,0,9,4,9.870695256660168,485,10.0,0.9804238796311276,162,0,5.0,40,1,1419,6257.0,3811,38101,0.0,165,514,0.0,16982,146,538,10.0,4,0,9.883040935672515,1621,585,2309,6058,9,29490,70,1.9258545979778527E-4,38091,35,0,1439
9,180011,0,1591,1590,0,532,56591.194328301885,36591.6712017599,14.139608672232697,18156.925903773583,0.6018247337218099,6.0305304E7,1,1000,UNIFORM,0,274,1660,15790,10,0,581,3818.0,0,10.0,9,3507,2,5440,20268,131,164,34897,1398,0,324,15167,135.0,6948,2,9,1.0291893169463484,55003.0,10,576,1639,20378,0.49984281672430053,0.0,35320.0,15760,0,0,0,0.2578616352201258,52049,0.0,527.0,0,3341,14440,2122.0,0.0,127.0,0,0,0.0880503144654088,1,123,31397,9.817724701445632,0,0,0.0,3961,1483,562,0,0.5715055211419338,0,9,2,9.922641509433962,381,10.0,0.9465847317419049,188,0,5.0,40,1,1382,6335.0,3585,37095,0.0,129,467,0.0,16898,168,532,10.0,3,0,9.91194968553459,1664,563,1920,6058,9,31810,70,9.425070688030161E-5,35310,17,0,3156
