SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,AvgRollbackRtt,RemoteUpdateTxPrepareServiceTime,RemoteContentionProbability,LocalUpdateTxPrepareResponseTime,AvgCommitAsync,LocalUpdateTxLocalServiceTime,AvgGetsPerWrTransaction,LocalUpdateTxLocalRollbackResponseTime,AvgNumSyncSentCommitMsgs,AvgCommitCommandSize,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,LocalReadOnlyTxPrepareResponseTime,AvgPutsPerWrTransaction,PercentageWriteTransactions,NumAbortedTxDueToValidation,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumWaitedRemoteGets,AvgLocalRemoteAbortLockHoldTime,AvgLocalSuccessfulLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgNumNodesRollback,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgRemoteGetsPerWrTransaction,AvgCommitRtt,NumReadsBeforeWrite,LocalUpdateTxLocalRollbackServiceTime,AvgLockHoldTime,RemoteGetServiceTime,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,GMUClusteredGetCommandResponseTime,WaitedTimeInLocalCommitQueue,RemotePutExecutionTime,AvgLocalLockHoldTime,AvgClusteredGetCommandReplySize,AvgNumNodesRemoteGet,NumOwnedRdItemsInRemotePrepare,AvgNumAsyncSentCommitMsgs,AvgGetsPerROTransaction,LocalUpdateTxTotalResponseTime,LocalUpdateTxTotalCpuTime,LocalUpdateTxLocalResponseTime,RemoteGetResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,LocalUpdateTxCommitServiceTime,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,PercentageSuccessWriteTransactions,WaitedTimeInRemoteCommitQueue,LocalUpdateTxRemoteRollbackResponseTime,LockContentionProbability,AvgRemoteLockHoldTime,ReadOnlyTxTotalResponseTime,NumAbortedXacts,RemoteUpdateTxCommitServiceTime,NumberOfRemotePuts,AvgNumPutsBySuccessfulLocalTx,AvgNumNodesCompleteNotification,AvgCompleteNotificationAsync,NumAbortedTxDueToNotLastValueAccessed,NumOwnedRdItemsInLocalPrepare,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,TerminationCost,RemotelyDeadXact,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareCommandSize,LocalUpdateTxCommitResponseTime,LocalUpdateTxRemoteRollbackServiceTime,AvgPrepareRtt,AvgNumNodesCommit,NumberOfGets,UpdateXactToPrepare,AvgRollbackCommandSize,WriteSkewProbability,LocalContentionProbability,GMUClusteredGetCommandServiceTime,AvgReadOnlyTxDuration,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,NumWaitedRemoteCommits,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180043,0,510,378,4,160,185263.71756349207,153645.1826,27.434733840304183,13884.051378306878,0.6676970094789704,7.547460576E7,1,1000,UNIFORM,0,0,416,0.0,11475,1398,17503,100,1513,0,162,187,16406.0,0,0,10.0,0.5152091254752852,13,15535,10,0,2184,5456,127,9,61,150483,1697,90.53174603174604,0,100.0,533,10106,156,0.9496248660235799,194,53.0,0,1592,7002,419,1,9.000214408233276,9,100,183276.0,20055.0,169635,1681,0.0,148,638,609,0.0,0.42567567567567566,4516,2154,0.0,13001,151898.0,164,159,3410,10.0,0,0,0,23.56084656084656,3,0,174227,0.0,9.02116402116402,1704,0,1586,6039,1826,678,9960,10,88800,538.0,70,0.0,3.711952487008166E-4,50.0,151886,0.9788359788359788,1,120,79464,2,88.71176470588236,0,0,18652
1,179998,0,539,432,3,163,166576.8627638889,146877.1442226345,16.718555848724716,11989.705886574075,0.6314936139335541,7.08650323478261E7,1,1000,UNIFORM,0,0,403,0.0,10057,1109,16464,100,1347,0,162,187,16787.0,0,0,10.0,0.5259454705364995,17,15977,10,0,1846,5445,120,9,53,143824,1115,90.74768518518519,0,100.0,558,10065,152,0.8705067128627111,163,46.0,0,1399,6623,445,1,8.84946935239333,9,100,164966.0,18757.0,153176,1542,0.0,121,563,539,0.0,0.44490216271884653,0,1412,0.0,13223,145314.0,166,140,3930,10.0,0,0,0,19.53472222222222,1,0,165096,0.0,9.097222222222221,1543,0,1457,6038,1437,582,8822,10,97100,595.0,70,0.0,1.67897918065816E-4,46.0,145301,0.9027777777777778,1,108,88233,0,90.9647495361781,0,0,15149
2,180019,0,485,401,2,158,184563.72927930174,155783.1200185567,20.24581070745698,13631.746346633416,0.641432018594703,7.352505033333333E7,1,1000,UNIFORM,0,0,458,0.0,10952,1594,18461,100,2448,0,162,186,16959.0,0,0,10.0,0.5363288718929254,13,16085,10,0,2754,5851,154,9,63,152630,1791,91.08728179551122,0,100.0,612,10534,159,0.8595927116827439,170,56.0,0,1565,7310,437,1,8.660450160771704,9,100,182502.0,21156.0,169108,1665,0.0,140,683,697,0.0,0.4525959367945824,8962,2217,0.0,13275,153919.0,160,163,3670,10.0,0,0,0,19.44638403990025,1,0,195704,0.0,9.15211970074813,1791,0,1568,6038,2055,707,9429,10,88600,559.0,70,0.0,1.787629603146228E-4,53.0,153906,0.8478802992518704,1,128,80443,3,90.55051546391752,0,0,17038
3,180064,0,515,366,1,155,185502.3275136612,161280.20797669902,22.371890067502413,13863.137554644809,0.6753377922545392,6.843816066666667E7,1,1000,UNIFORM,0,0,462,0.0,11387,1411,17834,100,2420,0,162,187,18065.0,0,0,10.0,0.5033751205400193,17,17170,10,0,2822,5680,171,9,70,157860,1566,89.42349726775956,0,100.0,662,10629,165,1.0340398201669878,200,53.0,0,1571,7077,442,1,10.071719117961893,9,100,183394.0,20461.0,169790,1719,0.0,171,663,681,0.0,0.41543700340522133,1307,1909,0.0,13597,159403.0,156,163,3300,10.0,0,0,0,24.47814207650273,3,0,196622,0.0,9.01639344262295,1745,0,1617,6038,1867,661,9871,10,88100,521.0,70,0.0,5.755947812739831E-4,51.0,159385,0.9836065573770492,1,125,78681,6,89.22718446601942,0,0,16734
4,180016,0,498,392,0,161,184525.7039107143,155517.29231726908,24.2902635585157,14307.349517857143,0.6545310166442991,7.379125043478261E7,1,1000,UNIFORM,0,0,450,0.0,11834,1447,17898,100,2507,0,162,187,17143.0,0,0,10.0,0.5261655566127498,17,16263,10,0,2976,6149,139,9,62,151956,1680,90.36479591836735,0,100.0,679,10690,160,1.0248181429182712,162,53.0,0,1586,7584,439,1,9.284827733789857,9,100,182412.0,20539.0,168391,1672,0.0,142,668,688,0.0,0.4404494382022472,2901,1982,0.0,13513,153544.0,161,150,3520,10.0,0,0,0,22.102040816326532,3,0,223553,0.0,8.979591836734693,1752,0,1576,6039,1847,672,10261,10,89000,553.0,70,0.0,3.616636528028933E-4,51.0,153524,1.0204081632653061,1,114,79894,4,89.29919678714859,0,0,17606
5,180025,0,542,353,0,145,188148.53781303117,158113.2089704797,20.028314423076925,15111.051733711049,0.6587624931045938,7.541015E7,1,1000,UNIFORM,0,0,469,0.0,12563,1472,18237,100,1671,0,162,187,17392.0,0,0,10.0,0.47884615384615387,18,16514,9,0,2294,6221,232,9,75,154583,1565,88.88385269121812,0,100.0,624,10782,164,1.048832271762208,185,56.0,0,1589,7592,446,1,10.414649681528662,8,100,186219.0,20925.0,171358,1713,0.0,154,679,684,0.0,0.394413407821229,1534,2221,0.0,13356,156174.0,145,159,3120,10.0,0,0,0,25.657223796033993,2,0,199255,0.0,8.838526912181303,1786,0,1606,6038,1931,693,10929,9,89500,498.0,70,0.0,2.0080321285140563E-4,53.0,156155,1.161473087818697,1,120,79993,2,89.69926199261992,0,0,17783
6,180104,0,564,400,0,143,173877.30240749998,149619.31778014184,19.495323396567297,13734.31653,0.6722891488102677,9.458554688E7,1,1000,UNIFORM,0,0,476,0.0,11427,1295,16929,100,1664,0,162,187,16415.0,0,0,10.0,0.4905149051490515,12,15529,10,0,2243,5841,170,10,64,146285,1436,89.0375,0,100.0,647,10127,154,1.2039629549860005,173,52.0,3901,1487,7047,448,1,10.545767822528537,9,100,171800.0,19559.0,158330,1614,0.0,182,651,834,0.0,0.4149377593360996,1649,1878,0.0,12852,147881.0,143,159,3460,10.0,0,0,0,25.4675,0,1,196695,0.0,8.65,1766,0,1520,6039,1722,671,9824,10,96400,543.0,70,0.0,0.0,49.0,147864,1.35,1,117,85699,1,88.80141843971631,0,0,16705
7,180094,0,492,386,5,170,183131.41103886013,155543.5539796748,17.729120607787273,13543.017411917097,0.702211159878858,8.274017632E7,1,1000,UNIFORM,0,0,463,0.0,11231,1369,18557,100,1740,0,162,186,17587.0,0,0,10.0,0.5327635327635327,18,16716,10,0,2381,5741,164,9,61,152535,1594,90.72020725388602,0,100.0,595,10303,165,0.9400603708495041,168,55.0,0,1526,7363,429,1,8.673781802501079,9,100,180991.0,21186.0,167674,1669,0.0,153,665,725,0.0,0.4396355353075171,2989,2022,0.0,13014,153895.0,175,160,3520,10.0,0,0,0,21.6580310880829,1,0,180683,0.0,9.119170984455959,1755,0,1573,6038,1768,682,9749,10,87800,556.0,70,0.0,1.7927572606669058E-4,52.0,153885,0.8808290155440415,1,122,79016,4,89.42682926829268,0,0,18652
8,180083,0,508,364,0,158,184875.51482417583,160089.23139566928,23.855473786407767,13971.46651923077,0.687103195514088,6.904449536E7,1,1000,UNIFORM,0,0,480,0.0,11400,1524,18772,100,1696,0,162,187,18039.0,0,0,10.0,0.5067961165048543,12,17166,10,0,2140,6510,156,9,67,156698,1627,90.36538461538461,0,100.0,663,11023,170,0.9164363172443122,188,60.0,0,1564,8519,474,1,9.025090367850309,9,100,182754.0,21572.0,169013,1686,0.0,136,717,722,0.0,0.41743119266055045,3062,2030,0.0,12941,158207.0,158,175,3300,10.0,0,0,0,19.571428571428573,2,0,176457,0.0,9.065934065934066,1848,0,1585,6038,1983,761,9818,10,87200,522.0,70,0.0,3.831417624521073E-4,55.0,158196,0.9340659340659341,1,134,79703,4,92.14566929133858,0,0,20440
9,180055,0,501,396,1,142,180127.75972474748,162893.2713972056,28.235101923076922,13561.183055555555,0.6987579054932587,7.515048256E7,1,1000,UNIFORM,0,0,454,0.0,10991,1516,17574,100,2549,0,162,187,17946.0,0,0,10.0,0.5182692307692308,17,17090,10,0,3326,6747,135,9,67,159346,1740,88.98232323232324,0,100.0,630,10954,161,1.0920403346921261,174,56.0,0,1586,8043,470,1,10.476507187298862,9,100,177905.0,20215.0,164597,1695,0.0,158,679,698,0.0,0.4414715719063545,0,2058,0.0,13162,160804.0,143,163,3540,10.0,0,0,0,21.26010101010101,1,0,201521,0.0,8.93939393939394,1739,0,1597,6038,1929,697,9553,10,89700,538.0,70,0.0,0.0,53.0,160780,1.0606060606060606,1,124,80852,0,91.04790419161677,0,0,17286
