SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,AvgRollbackRtt,RemoteUpdateTxPrepareServiceTime,RemoteContentionProbability,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,LocalUpdateTxLocalServiceTime,AvgGetsPerWrTransaction,LocalUpdateTxLocalRollbackResponseTime,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,AvgCommitCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,LocalReadOnlyTxPrepareResponseTime,AvgPutsPerWrTransaction,PercentageWriteTransactions,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumAbortedTxDueToValidation,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,AvgNumNodesRollback,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgRemoteGetsPerWrTransaction,AvgCommitRtt,NumReadsBeforeWrite,LocalUpdateTxLocalRollbackServiceTime,AvgLockHoldTime,RemoteGetServiceTime,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,GMUClusteredGetCommandResponseTime,WaitedTimeInLocalCommitQueue,RemotePutExecutionTime,AvgLocalLockHoldTime,AvgNumNodesRemoteGet,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxTotalCpuTime,LocalUpdateTxLocalResponseTime,RemoteGetResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,LocalUpdateTxCommitServiceTime,RemoteUpdateTxPrepareResponseTime,PercentageSuccessWriteTransactions,WaitedTimeInRemoteCommitQueue,LocalUpdateTxRemoteRollbackResponseTime,ApplicationContentionFactor,LockContentionProbability,AvgRemoteLockHoldTime,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,RemoteUpdateTxCommitServiceTime,AvgNumNodesCompleteNotification,AvgCompleteNotificationAsync,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToNotLastValueAccessed,NumOwnedRdItemsInLocalPrepare,NumAbortedTxDueToWriteLock,TerminationCost,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgPrepareRtt,AvgNumNodesCommit,NumberOfGets,WriteSkewProbability,LocalContentionProbability,GMUClusteredGetCommandServiceTime,AvgReadOnlyTxDuration,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgPrepareAsync
0,180239,0,59,598,1,40,524373.6366839465,428272.1128135593,20.00009312320917,50752.4460735786,0.5654477372501422,2.4253332928E8,2,100000,UNIFORM,0,0,278,0.0,4351,45220,34734,100,3876,0,424,402,32558.0,0,0,Not_Available,0.9154727793696275,31885,35,0,132,-35,34,425461,3604,96.0,0,Not_Available,1370,39823,299,0.0,0,Not_Available,0,3564,44232,1,34,0.0,522218.0,100,39959.0,471791,4464,339.0,56,1555,436,0.9101978691019786,392,0,0.0,0.0,38979,426396.0,5870,0,0,0,Not_Available,0,36.0,0,140432,Not_Available,3492,0,4142,0,4768,6302,42113,35,65700,0.0,0.0,Not_Available,426379,0.0,40,95,63535,96.0,0,0
1,180036,0,78,588,0,47,513435.9521768708,434088.45874358976,35.06033380084152,48892.98382823129,0.49248544941021605,2.0926731617391303E8,2,100000,UNIFORM,0,0,270,0.0,3751,44218,36386,100,3652,0,424,402,35349.0,0,0,Not_Available,0.8906030855539971,34623,35,2,190,-18,35,430259,3286,98.0,0,Not_Available,1286,41334,311,0.0,0,Not_Available,0,3467,44094,1,34,0.0,511437.0,100,41347.0,462855,4314,317.0,31,1306,357,0.8828828828828829,318,0,0.0,0.0,40703,432486.0,5760,0,0,0,Not_Available,0,13.0,0,151333,Not_Available,3470,0,3999,0,4085,6302,41146,35,66600,0.0,0.0,Not_Available,432380,0.0,40,110,65529,98.0,0,0
2,180298,0,63,610,0,36,517236.01612786885,430040.00503174606,24.488736248236954,47423.288759016395,0.5860763096190691,2.6352623104E8,2,100000,UNIFORM,0,0,274,0.0,3749,42613,31260,100,4014,0,424,402,29290.0,0,0,Not_Available,0.9111424541607899,28598,35,0,118,-43,35,426179,3684,96.0,0,Not_Available,1144,40634,273,0.0,0,Not_Available,0,3539,43433,1,34,0.0,514782.0,100,35599.0,467677,4431,355.0,49,1145,471,0.9063893016344725,375,0,0.0,0.0,40088,428091.0,5910,0,0,0,Not_Available,0,36.0,0,111921,Not_Available,3017,0,4126,0,4208,6302,40051,35,67300,0.0,0.0,Not_Available,428076,0.0,40,98,65008,96.0,0,0
3,180347,0,72,598,0,54,504493.8472140468,417561.3815277778,18.941454419889503,46721.155172240804,0.4947055306734725,1.9700640672E8,2,100000,UNIFORM,0,0,288,0.0,4138,41668,35812,100,5189,0,424,402,34390.0,0,0,Not_Available,0.9005524861878453,33673,35,1,179,-14,35,413233,4862,98.0,0,Not_Available,1536,42806,306,0.0,0,Not_Available,0,3358,41535,1,34,0.0,502411.0,100,40953.0,455984,4270,288.0,25,1511,388,0.8925373134328358,297,0,0.0,0.0,43119,415677.0,5850,0,0,0,Not_Available,0,16.0,1,107839,Not_Available,3453,0,3953,0,4472,6302,38822,35,67000,0.0,1.5337423312883436E-4,Not_Available,415664,0.0,40,105,65830,98.0,0,0
4,180354,0,66,592,0,41,524201.45063344593,434859.55262121215,27.751416309012875,51196.329501689186,0.6031268075366072,2.60011056E8,2,100000,UNIFORM,0,0,288,0.0,4474,45677,34575,100,4253,0,424,402,29922.0,0,0,Not_Available,0.9055793991416309,29228,35,2,114,-28,35,432202,3874,96.0,0,Not_Available,1514,39823,294,0.0,0,Not_Available,0,3612,45664,1,34,0.0,521720.0,100,39784.0,470851,4454,351.0,49,1548,414,0.8996960486322189,372,0,0.0,0.0,38748,433211.0,5670,0,0,0,Not_Available,0,32.0,0,150870,Not_Available,3471,0,4138,0,4865,6302,42362,35,65800,0.0,0.0,Not_Available,433148,0.0,40,98,63646,96.0,0,0
5,180306,0,63,611,0,44,507595.4437103109,414783.16395238094,16.612796657381615,49124.498509001634,0.4567825077565489,2.0053859424E8,2,100000,UNIFORM,0,0,267,0.0,3677,44251,36298,100,2769,0,424,402,30178.0,0,0,Not_Available,0.9122562674094707,29446,35,0,112,-29,35,412224,2460,98.0,0,Not_Available,1151,42698,307,0.0,0,Not_Available,0,3416,46717,1,34,0.0,505588.0,100,41307.0,456923,4275,274.0,25,1341,387,0.9065281899109793,270,0,0.0,0.0,41785,413262.0,5970,0,0,0,Not_Available,0,18.0,0,123330,Not_Available,3482,0,3966,0,4128,6302,41721,35,67400,0.0,0.0,Not_Available,413222,0.0,40,105,66258,98.0,0,0
6,180210,0,74,589,1,51,509446.8229303905,436915.49647297297,28.197583216783215,48817.917711375216,0.49211380276574085,1.9994640704E8,2,100000,UNIFORM,0,0,291,0.0,3992,43855,36390,100,3963,0,424,402,33050.0,0,0,Not_Available,0.8965034965034965,32290,35,0,123,-16,34,434465,3707,98.0,0,Not_Available,1211,42441,309,0.0,0,Not_Available,0,3376,43705,1,34,0.0,507513.0,100,41383.0,459005,4320,300.0,22,1339,470,0.8883861236802413,295,0,0.0,0.0,42161,435502.0,5810,0,0,0,Not_Available,0,15.0,1,137493,Not_Available,3466,0,3999,0,4367,6302,40792,35,66300,0.0,0.0,Not_Available,435474,0.0,40,108,65170,98.0,0,0
7,180111,0,63,613,0,49,505714.68265579117,405601.0308095238,32.76747172413793,47709.26189233279,0.49743407816132384,2.097618816E8,2,100000,UNIFORM,0,0,273,0.0,4011,42772,36863,100,3366,0,424,402,32859.0,0,0,Not_Available,0.9131034482758621,32128,35,0,117,-22,35,402999,3033,98.0,0,Not_Available,1204,41765,309,0.0,0,Not_Available,0,3433,44286,1,34,0.0,503669.0,100,41915.0,456258,4233,289.0,32,1350,440,0.9068047337278107,273,0,0.0,0.0,41153,403953.0,5980,0,0,0,Not_Available,0,19.0,0,111253,Not_Available,3525,0,3922,0,4350,6302,39845,35,67600,0.0,0.0,Not_Available,403935,0.0,40,107,66399,98.0,0,0
8,180149,0,69,607,1,43,508403.1343640857,428584.69465217396,26.308859722222223,46525.70397199341,0.4774680311756866,2.1304613856E8,2,100000,UNIFORM,0,0,271,0.0,4048,41573,35642,100,3504,0,424,402,33520.0,0,0,Not_Available,0.9041666666666667,32836,35,0,123,-25,34,425957,3166,98.0,0,Not_Available,1362,41878,304,0.0,0,Not_Available,0,3399,40466,1,34,0.0,506385.0,100,40704.0,460143,4289,281.0,17,1443,374,0.8979289940828402,275,0,0.0,0.0,42212,426941.0,6000,0,0,0,Not_Available,0,15.0,0,101363,Not_Available,3448,0,3975,0,4395,6302,38583,35,67600,0.0,0.0,Not_Available,426926,0.0,40,112,66501,98.0,0,0
9,180334,0,73,595,0,44,513947.1335529412,426115.4207123288,20.217375,48729.51310420168,0.5274255177919789,2.4712710112E8,2,100000,UNIFORM,0,0,278,0.0,4220,43538,34313,100,5823,0,424,402,29436.0,0,0,Not_Available,0.8974719101123596,28740,35,3,116,-39,35,423347,3845,96.0,0,Not_Available,1319,39446,297,204.0,143,Not_Available,0,3621,42826,1,34,0.0,512031.0,100,39237.0,463612,4393,342.0,54,1301,508,0.8907185628742516,388,0,0.0,0.0,38748,424404.0,5740,142,0,0,Not_Available,0,30.0,0,134537,Not_Available,3437,0,4090,0,4568,6302,40794,35,66800,0.0,0.0,Not_Available,424379,0.0,40,99,64577,96.0,0,0
