SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,AvgRollbackRtt,RemoteUpdateTxPrepareServiceTime,RemoteContentionProbability,LocalUpdateTxPrepareResponseTime,AvgCommitAsync,LocalUpdateTxLocalServiceTime,AvgGetsPerWrTransaction,LocalUpdateTxLocalRollbackResponseTime,AvgNumSyncSentCommitMsgs,AvgCommitCommandSize,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,LocalReadOnlyTxPrepareResponseTime,AvgPutsPerWrTransaction,PercentageWriteTransactions,NumAbortedTxDueToValidation,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumWaitedRemoteGets,AvgLocalRemoteAbortLockHoldTime,AvgLocalSuccessfulLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgNumNodesRollback,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgRemoteGetsPerWrTransaction,AvgCommitRtt,NumReadsBeforeWrite,LocalUpdateTxLocalRollbackServiceTime,AvgLockHoldTime,RemoteGetServiceTime,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,GMUClusteredGetCommandResponseTime,WaitedTimeInLocalCommitQueue,RemotePutExecutionTime,AvgLocalLockHoldTime,AvgClusteredGetCommandReplySize,AvgNumNodesRemoteGet,NumOwnedRdItemsInRemotePrepare,AvgNumAsyncSentCommitMsgs,AvgGetsPerROTransaction,LocalUpdateTxTotalResponseTime,LocalUpdateTxTotalCpuTime,LocalUpdateTxLocalResponseTime,RemoteGetResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,LocalUpdateTxCommitServiceTime,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,PercentageSuccessWriteTransactions,WaitedTimeInRemoteCommitQueue,LocalUpdateTxRemoteRollbackResponseTime,LockContentionProbability,AvgRemoteLockHoldTime,ReadOnlyTxTotalResponseTime,NumAbortedXacts,RemoteUpdateTxCommitServiceTime,NumberOfRemotePuts,AvgNumPutsBySuccessfulLocalTx,AvgNumNodesCompleteNotification,AvgCompleteNotificationAsync,NumAbortedTxDueToNotLastValueAccessed,NumOwnedRdItemsInLocalPrepare,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,TerminationCost,RemotelyDeadXact,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareCommandSize,LocalUpdateTxCommitResponseTime,LocalUpdateTxRemoteRollbackServiceTime,AvgPrepareRtt,AvgNumNodesCommit,NumberOfGets,UpdateXactToPrepare,AvgRollbackCommandSize,WriteSkewProbability,LocalContentionProbability,GMUClusteredGetCommandServiceTime,AvgReadOnlyTxDuration,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,NumWaitedRemoteCommits,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180023,0,4554,550,0,2,86730.31303272727,28832.29154216074,50.511870740305525,38376.79976727273,0.9094925673318969,2.598490212173913E8,1,100000,UNIFORM,0,0,242,0.0,33119,2909,4329,10,0,0,242,266,2690.0,0,0,10.0,0.10810810810810811,0,2376,16,1873,0,5058,174,16,398,24876,5603,8.549090909090909,0,10.0,0,5124,243,1.8526100307062436,232,232.0,25800,2437,5084,379,3,1.8605192146645575,15,10,82982.0,6349.0,45238,2785,23958.0,0,568,1121,0.0,0.10775862068965517,17126,7726,0.0,102829,25793.0,2,123,4680,10.0,0,0,0,13.661818181818182,0,16,133201,0.0,8.50909090909091,1301,0,2416,5693,4233,843,31689,16,51040,552.0,70,0.0,0.0,136.0,25780,1.490909090909091,3,172,43526,492,8.525252525252526,0,0,70456
1,180011,0,5901,722,0,0,76503.9572299169,21034.833557871545,19.54830333685641,37630.68397783933,0.9255852188847907,2.437263895652174E8,1,100000,UNIFORM,0,0,218,0.0,32922,2817,4562,10,0,0,242,266,2488.0,0,0,10.0,0.10901404197493583,0,2207,15,1565,0,4348,126,0,251,18469,0,8.486149584487535,0,10.0,0,4411,227,1.8899980802457286,129,123.0,20108,2004,4348,380,3,1.87454405836053,15,10,74201.0,6932.0,37017,2095,26774.0,0,643,533,0.0,0.10901404197493583,16855,0,0.0,75260,19119.0,0,95,6150,10.0,0,0,0,13.78393351800554,0,22,117430,0.0,8.518005540166206,1585,0,1827,5693,3970,0,31143,15,66230,722.0,0,0.0,0.0,95.0,19106,1.481994459833795,3,132,56278,497,8.49872902897814,0,0,0
2,179994,0,4838,614,0,0,86860.19589739414,26037.671609136007,30.733471019809244,39847.97813843648,0.920242504390118,2.260661033043478E8,1,100000,UNIFORM,0,0,247,0.0,33580,3884,5325,10,0,0,242,266,2887.0,0,0,10.0,0.11245643001284168,0,2584,16,1568,0,5411,125,0,332,22615,0,8.486133768352365,0,10.0,0,5463,266,1.9212833426599516,160,158.0,19008,2523,5411,380,3,1.8950755456071628,15,10,84138.0,7914.0,44867,2546,22600.0,0,732,910,0.0,0.11245643001284168,15949,0,0.0,75663,23482.0,0,109,5250,10.0,0,0,0,13.402936378466558,0,22,159141,0.0,8.564437194127244,1704,0,2203,5692,5308,0,31659,16,54510,613.0,0,0.0,0.0,108.0,23468,1.435562805872757,3,131,46294,543,8.493592393551054,0,0,0
3,179996,0,5139,649,0,0,85382.38555469955,24117.46927242654,34.352583102971664,41630.76539137134,0.8402805761201655,2.269842233043478E8,1,100000,UNIFORM,0,0,243,0.0,36453,3502,5066,10,0,0,242,266,2805.0,0,0,10.0,0.1121285418106427,0,2493,16,1303,0,4658,106,0,291,21001,0,8.50693374422188,0,10.0,0,4717,255,1.8390368755332258,153,143.0,22733,2273,4658,379,3,1.8719309887193099,15,10,82725.0,7609.0,41479,2362,24205.0,0,735,804,0.0,0.1121285418106427,15203,0,0.0,90911,21793.0,0,112,5650,10.0,0,0,0,13.24191063174114,0,13,135121,0.0,8.705701078582434,1658,0,2056,5693,4440,0,34437,16,57880,649.0,0,0.0,0.0,106.0,21775,1.2942989214175655,3,108,49286,478,8.516248297334112,0,0,0
4,180001,0,5731,707,0,0,79486.5166195191,21488.548938928634,19.093710779745262,40457.903231966055,0.8772472690604387,2.387390886956522E8,1,100000,UNIFORM,0,0,222,0.0,34994,3715,4615,10,0,0,242,266,2591.0,0,0,10.0,0.10981671326498912,0,2305,16,1695,0,4853,121,0,260,18806,0,8.482319660537483,0,10.0,0,4883,236,1.8921755725190839,129,132.0,17975,2065,4853,379,3,1.8545801526717558,15,10,77263.0,7155.0,37169,2119,28749.0,0,759,582,0.0,0.10981671326498912,17017,0,0.0,102284,19501.0,0,99,5910,10.0,0,0,0,13.424328147100425,0,23,128806,0.0,8.359264497878359,1637,0,1851,5693,4779,0,33185,16,64380,707.0,0,0.0,0.0,98.0,19479,1.6407355021216408,3,118,54889,555,8.53114639678939,0,0,0
5,179993,0,5786,676,0,1,78858.39366568047,21754.49194832354,29.029006807983908,38635.81173224852,0.9084197261289563,2.321728772173913E8,1,100000,UNIFORM,0,0,223,0.0,32905,3396,4872,10,0,0,242,266,2620.0,0,0,10.0,0.10475011604518025,0,2324,15,1591,0,4413,140,17,262,19010,2906,8.548816568047338,0,10.0,0,4531,239,1.8605318538358524,129,127.0,28201,2095,4443,379,3,1.8586187105414196,15,10,76428.0,7352.0,38173,2150,25476.0,1,755,537,0.0,0.1046115753636645,16277,3886,0.0,74911,19749.0,1,102,5770,10.0,0,0,0,14.131656804733728,0,24,126033,0.0,8.535502958579881,1583,0,1881,5693,4988,817,31088,15,64620,677.0,70,0.0,0.0,96.0,19737,1.4644970414201184,3,136,55067,493,8.518492913930176,0,0,98853
6,180002,0,5664,743,0,0,78484.32553162854,21348.070288841805,25.653170282503513,39265.03330551817,0.9049021041148246,2.396270713043478E8,1,100000,UNIFORM,0,0,214,0.0,34092,3168,4853,10,0,0,242,266,2510.0,0,0,10.0,0.11596691119088497,0,2234,16,1586,0,5066,146,0,241,18686,0,8.56393001345895,0,10.0,0,5174,230,1.8260112250822527,144,124.0,26295,2013,5066,378,3,1.864911941165086,15,10,76229.0,7274.0,37390,2108,26087.0,0,688,551,0.0,0.11596691119088497,18068,0,0.0,90941,19369.0,0,95,6450,10.0,0,0,0,12.686406460296096,0,23,119540,0.0,8.681022880215343,1592,0,1841,5693,4396,0,32427,16,64070,743.0,0,0.0,0.0,97.0,19355,1.3189771197846567,3,152,54643,489,8.524011299435028,0,0,0
7,180005,0,5751,741,0,0,79421.75790958165,20956.413908015995,20.647119685767098,40908.09636707152,0.8969742482323316,2.2738264208695653E8,1,100000,UNIFORM,0,0,222,0.0,35769,3267,4632,10,0,0,242,266,2568.0,0,0,10.0,0.11414048059149723,0,2275,16,1803,0,4976,167,0,241,18333,0,8.475033738191632,0,10.0,0,5007,235,1.8737388296339001,137,132.0,18103,2001,4976,379,3,1.8645142692418564,15,10,77214.0,7086.0,36686,2083,26619.0,0,702,551,0.0,0.11414048059149723,17327,0,0.0,108081,19026.0,0,102,6300,10.0,0,0,0,13.379217273954117,0,29,109120,0.0,8.502024291497976,1614,0,1826,5693,4482,0,34094,16,64920,741.0,0,0.0,0.0,98.0,19013,1.4979757085020242,3,164,55005,496,8.47243957572596,0,0,0
8,180004,0,5766,688,0,1,78954.63680523256,21647.427047866808,28.199829279628197,38918.20687790698,0.9143366234407495,2.3406415791304347E8,1,100000,UNIFORM,0,0,214,0.0,33902,3223,4692,10,0,0,242,266,2554.0,0,0,10.0,0.10673896204492642,0,2279,16,1509,0,4592,112,17,265,18971,2146,8.42296511627907,0,10.0,0,4717,236,1.864244741873805,121,124.0,18805,2035,4592,379,3,1.8717973231357552,15,10,76441.0,7113.0,37895,2152,25660.0,1,678,546,0.0,0.10660055779361637,17485,2799,0.0,84157,19652.0,1,98,5850,10.0,0,0,0,14.126453488372093,0,22,106071,0.0,8.502906976744185,1605,0,1880,5693,4322,982,32167,16,64540,689.0,70,0.0,0.0,95.0,19638,1.497093023255814,3,117,54821,499,8.502601456815817,0,0,0
9,180003,0,6141,734,0,0,76008.18846185286,20132.491237257775,17.934566836363636,38590.81501089918,0.8626229342153187,2.22189344E8,1,100000,UNIFORM,0,0,219,0.0,33573,3162,4678,10,0,0,242,266,2570.0,0,0,10.0,0.10676363636363637,0,2277,16,1391,0,4390,116,0,234,17616,0,8.486376021798366,0,10.0,0,4419,235,1.8083670715249662,129,127.0,20942,2001,4390,379,3,1.8402737613263929,15,10,73871.0,7232.0,35717,1995,28397.0,0,769,508,0.0,0.10676363636363637,16861,0,0.0,107111,18283.0,0,102,6150,10.0,0,0,0,14.059945504087194,0,22,112798,0.0,8.378746594005449,1648,0,1753,5693,4318,0,31753,16,68750,734.0,0,0.0,0.0,95.0,18272,1.6212534059945505,3,115,58430,489,8.500407099820876,0,0,0
