SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,AvgRollbackRtt,RemoteUpdateTxPrepareServiceTime,RemoteContentionProbability,LocalUpdateTxPrepareResponseTime,AvgCommitAsync,LocalUpdateTxLocalServiceTime,AvgGetsPerWrTransaction,LocalUpdateTxLocalRollbackResponseTime,AvgNumSyncSentCommitMsgs,AvgCommitCommandSize,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,LocalReadOnlyTxPrepareResponseTime,AvgPutsPerWrTransaction,PercentageWriteTransactions,NumAbortedTxDueToValidation,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumWaitedRemoteGets,AvgLocalRemoteAbortLockHoldTime,AvgLocalSuccessfulLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgNumNodesRollback,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgRemoteGetsPerWrTransaction,AvgCommitRtt,NumReadsBeforeWrite,LocalUpdateTxLocalRollbackServiceTime,AvgLockHoldTime,RemoteGetServiceTime,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,GMUClusteredGetCommandResponseTime,WaitedTimeInLocalCommitQueue,RemotePutExecutionTime,AvgLocalLockHoldTime,AvgClusteredGetCommandReplySize,AvgNumNodesRemoteGet,NumOwnedRdItemsInRemotePrepare,AvgNumAsyncSentCommitMsgs,AvgGetsPerROTransaction,LocalUpdateTxTotalResponseTime,LocalUpdateTxTotalCpuTime,LocalUpdateTxLocalResponseTime,RemoteGetResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,LocalUpdateTxCommitServiceTime,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,PercentageSuccessWriteTransactions,WaitedTimeInRemoteCommitQueue,LocalUpdateTxRemoteRollbackResponseTime,LockContentionProbability,AvgRemoteLockHoldTime,ReadOnlyTxTotalResponseTime,NumAbortedXacts,RemoteUpdateTxCommitServiceTime,NumberOfRemotePuts,AvgNumPutsBySuccessfulLocalTx,AvgNumNodesCompleteNotification,AvgCompleteNotificationAsync,NumAbortedTxDueToNotLastValueAccessed,NumOwnedRdItemsInLocalPrepare,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,TerminationCost,RemotelyDeadXact,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareCommandSize,LocalUpdateTxCommitResponseTime,LocalUpdateTxRemoteRollbackServiceTime,AvgPrepareRtt,AvgNumNodesCommit,NumberOfGets,UpdateXactToPrepare,AvgRollbackCommandSize,WriteSkewProbability,LocalContentionProbability,GMUClusteredGetCommandServiceTime,AvgReadOnlyTxDuration,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,NumWaitedRemoteCommits,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180006,0,348,3419,0,1,50008.056561275225,23173.175939655175,35.47970939490446,9652.927515940333,0.6598413116806938,2.3530582573913044E8,1,100000,UNIFORM,0,0,204,0.0,7972,965,3194,10,0,0,162,181,2078.0,0,0,10.0,0.9076433121019108,0,1823,6,0,0,8422,124,6,-1115,21147,1822,8.976893828604855,0,10.0,0,8582,173,1.523877843820455,107,222.0,8670,1871,8422,295,1,1.5388399262143881,5,10,48179.0,4471.0,38761,2367,0.0,0,341,290,0.0,0.9076187947969206,7195,2505,0.0,42664,21581.0,1,85,30620,10.0,0,0,0,1.1234279028955836,0,8,79708,0.0,8.95583503948523,811,0,1989,5613,1219,709,7226,6,37670,3420.0,70,0.0,0.0,168.0,21575,1.0441649605147705,1,124,33829,161,9.014367816091953,0,0,0
1,180006,0,376,3627,0,2,47098.67162448304,21632.28757180851,17.98687890137328,9322.391246484698,0.6785353841596106,2.1895462991304347E8,1,100000,UNIFORM,0,0,189,0.0,7840,796,3273,10,0,0,162,181,2040.0,0,0,10.0,0.9061173533083645,0,1779,6,0,0,7936,104,7,-1055,19829,1054,8.981803143093465,0,10.0,0,8048,168,1.5572299964119125,86,145.0,7385,1738,7951,302,1,1.542467579066072,5,10,45520.0,4558.0,36430,2242,0.0,0,318,244,0.0,0.9060704471646265,6425,2170,0.0,38526,20289.0,2,76,32350,10.0,0,0,0,1.1218637992831542,0,5,108644,0.0,8.919216983733113,836,0,1877,5613,1021,567,7125,6,40030,3629.0,70,0.0,0.0,122.0,20285,1.0807830162668872,1,103,35961,138,9.0,0,0,38069
2,180003,0,319,3264,1,1,52481.378215379904,23745.287733542318,15.14308340306834,10322.771848345588,0.749231366348745,2.1315392486956522E8,1,100000,UNIFORM,0,0,207,0.0,8441,1099,3803,10,312,0,162,181,2337.0,0,0,10.0,0.9110181311018131,0,2061,6,0,0,9063,84,3,-1174,21805,885,9.016850490196079,0,10.0,319,9263,198,1.5245398773006136,107,198.0,5581,1970,9079,294,1,1.5254089979550103,5,10,50573.0,5254.0,40515,2427,0.0,0,381,296,0.0,0.9109684621825286,8161,3189,0.0,43356,22302.0,2,88,29380,10.0,0,0,0,1.0799632352941178,0,3,120947,0.0,9.001225490196079,919,0,2049,5612,1346,890,7604,6,35830,3265.0,70,0.0,0.0,158.0,22297,0.9987745098039216,1,87,32305,135,9.009404388714733,0,0,67798
3,179985,0,357,3208,0,1,53151.75283104738,24053.46075910364,19.066703309029727,10093.638408665836,0.6263113754627383,2.158544987826087E8,1,100000,UNIFORM,0,0,212,0.0,8183,1092,3831,10,0,0,162,181,2380.0,0,0,10.0,0.8998878295008412,0,2103,6,0,0,8514,107,6,-1161,21839,3168,9.010910224438902,0,10.0,0,8602,198,1.555790746900514,110,215.0,11516,1993,8517,296,1,1.5414776736216107,5,10,51243.0,5237.0,41412,2494,0.0,1,348,322,0.0,0.8998597475455821,7514,3912,0.0,33709,22354.0,1,89,28830,10.0,0,0,0,1.0969451371571073,0,4,119480,0.0,8.986907730673316,902,0,2089,5612,1358,927,7331,6,35650,3209.0,70,0.0,0.0,165.0,22347,1.0130922693266833,1,106,32131,143,9.030812324929972,0,0,16769
4,179991,0,317,3270,1,4,52209.157052905204,24901.487416403786,22.209593541202675,10183.805473700306,0.6731126663425654,2.1405397217391303E8,1,100000,UNIFORM,0,0,210,0.0,8360,992,3784,10,332,0,162,181,2300.0,0,0,10.0,0.9117483296213809,0,2007,6,0,0,8562,104,4,-1184,22770,630,8.99663608562691,0,10.0,340,8658,194,1.5112572729572478,103,198.0,12680,1963,8602,293,1,1.5365545155578042,5,10,50420.0,5223.0,40525,2441,0.0,0,359,318,0.0,0.911625313632562,6403,1136,0.0,37570,23436.0,5,86,29540,10.0,0,0,0,1.1030581039755352,0,3,133891,0.0,9.033639143730888,928,0,2050,5612,1256,565,7515,6,35870,3274.0,70,0.0,0.0,156.0,23427,0.9663608562691132,1,110,32263,155,8.97160883280757,0,0,56473
5,180028,0,325,3268,0,1,52372.5307616279,24260.06884,19.541037840845853,9916.998214810283,0.7401206379932886,2.06571323E8,1,100000,UNIFORM,0,0,213,0.0,8125,994,3862,10,0,0,162,181,2480.0,0,0,10.0,0.9095715080690039,0,2201,6,0,0,8587,109,6,-1170,22241,2189,8.989902080783354,0,10.0,0,8645,201,1.575168058667753,109,196.0,19043,1967,8587,298,1,1.5469036463638215,5,10,50490.0,5267.0,40830,2469,0.0,2,349,303,0.0,0.9095463401057612,7123,2886,0.0,39136,22653.0,1,89,29470,10.0,0,0,0,1.1077111383108935,0,5,117571,0.0,9.017747858017136,910,0,2068,5613,1275,857,7289,6,35930,3269.0,70,0.0,0.0,155.0,22645,0.9822521419828641,1,110,32309,156,9.015384615384615,0,0,0
6,180011,0,384,3480,0,4,48788.48882270115,23565.423997395832,19.035949844881078,9508.840434770114,0.651910562808469,2.0924701217391303E8,1,100000,UNIFORM,0,0,202,0.0,7875,847,3428,10,396,0,162,181,2165.0,0,0,10.0,0.9007238883143743,0,1899,6,0,0,7777,102,5,-1103,21755,664,8.98793103448276,0,10.0,403,7946,177,1.5413999587032832,95,150.0,18912,1825,7788,295,1,1.5320049556060293,5,10,47114.0,4774.0,37869,2304,0.0,0,339,277,0.0,0.9006211180124224,7691,1343,0.0,41967,22192.0,4,85,31320,10.0,0,0,0,1.1172413793103448,1,6,116131,0.0,9.0,865,0,1942,5613,1134,543,7115,6,38640,3484.0,70,0.0,0.0,124.0,22178,1.0,1,106,34752,141,9.046875,0,0,28780
7,180003,0,350,3235,1,2,52544.178842040186,25356.93359142857,23.199650222965438,10393.110870170016,0.7233202497928976,2.0866461426086956E8,1,100000,UNIFORM,0,0,201,0.0,8427,1145,3825,10,960,0,162,181,2277.0,0,0,10.0,0.9024526198439242,1,2012,6,0,3117,8671,114,4,-1185,23080,913,8.961360123647605,0,10.0,402,8729,196,1.556990569905699,103,190.0,12946,1968,8670,296,1,1.5324928249282492,5,10,50718.0,5249.0,40593,2460,0.0,3,388,291,0.0,0.902370990237099,7429,1956,0.0,39829,23564.0,3,84,29280,10.0,0,0,0,1.1443585780525503,0,7,131399,0.0,9.051004636785162,887,0,2069,5612,1429,986,7616,6,35850,3237.0,70,0.0,0.0,153.0,23549,0.9489953632148377,1,112,32146,150,9.017142857142858,0,0,0
8,180022,0,308,3240,0,1,52945.566792901234,24213.730146103895,18.800034939419554,10090.53417345679,0.7419147668867532,2.24021785E8,1,100000,UNIFORM,0,0,208,0.0,8123,1064,3864,10,0,0,162,181,2369.0,0,0,10.0,0.9132149901380671,0,2083,6,0,0,8532,125,6,-1186,22056,3406,9.00432098765432,0,10.0,0,8701,199,1.5166835187057635,124,195.0,8893,1995,8550,293,1,1.542366026289181,5,10,51036.0,5288.0,41234,2477,0.0,2,355,304,0.0,0.9131905298759865,7908,6063,0.0,53560,22544.0,1,94,29210,10.0,0,0,0,1.0969135802469137,0,6,122736,0.0,9.015432098765432,913,0,2077,5612,1387,808,7244,6,35480,3241.0,70,0.0,0.0,156.0,22539,0.9845679012345679,1,118,31926,146,8.935064935064934,0,0,40061
9,180022,0,341,3255,0,1,52419.23392135177,24398.403994134896,19.477367250486516,10143.607683563749,0.7195892146188968,2.0265337182608697E8,1,100000,UNIFORM,0,0,210,0.0,8166,1120,3805,10,1783,0,162,181,2372.0,0,0,10.0,0.9051987767584098,1,2088,6,0,2773,8778,103,7,-1176,22200,999,9.006451612903225,0,10.0,975,8845,197,1.5444905486399263,103,203.0,23912,1982,8774,296,1,1.5375236924337892,5,10,50535.0,5293.0,40650,2439,0.0,2,400,296,0.0,0.9051724137931034,6856,0,0.0,27018,22779.0,1,87,29260,10.0,0,0,0,1.0998463901689708,0,10,144786,0.0,8.989247311827956,937,0,2061,5612,1445,0,7336,6,35960,3256.0,70,0.0,0.0,160.0,22769,1.010752688172043,1,105,32380,157,8.985337243401759,0,0,0
